bin,n,cnv,frac_mal,CI
0,4518,0.0015321100530359304,0.0,0.003922502189425064
1,4517,0.0027068997180292754,0.0,0.004358483069884838
2,4517,0.003480152046209242,0.0,0.004696735298047838
3,4517,0.004131113642828312,0.00022138587558113792,0.00514317966232713
4,4517,0.004717513560613057,0.0011069293779056896,0.005039481412587584
5,4517,0.005298485309314822,0.0006641576267434137,0.005074030636356537
6,4517,0.005922754819039345,0.0008855435023245517,0.005760146615962825
7,4517,0.0066061606822753255,0.004427717511622758,0.005828332808743537
8,4517,0.007396096524914155,0.0073057338941775515,0.0059292853386106615
9,4517,0.008337037257351335,0.018596413548815586,0.006332199391358012
10,4517,0.009459732968521381,0.03187956608368386,0.00663248653568376
11,4517,0.01080957101696977,0.057117555899933586,0.00675729361179249
12,4517,0.012294849805102653,0.10781492140801417,0.007246508360187127
13,4517,0.013941901368434166,0.15187071064866062,0.008443807870500992
14,4517,0.01562436551881445,0.23156962585787028,0.009621058721869424
15,4517,0.017324936638415875,0.378791233119327,0.010566789272056504
16,4517,0.019082968121949345,0.5749391188842152,0.010668699721091716
17,4517,0.020948881505278828,0.7263670577817135,0.0100460009429012
18,4517,0.023149652322994832,0.8388310825769316,0.008482949197878455
19,4518,0.02751218078149653,0.8942009738822487,0.007641903491465055
