dataset_id,tissue,assay,susp,disease,n_ctrl,n_case,cells
cff99df2-4904-44f7-9173-ff837f95606e,brain,10x 3' v3,nucleus,Alzheimer disease,7,14,230350
215ede73-4f67-4a72-b77e-9c3b077b6dfc,brain,10x 3' v3,nucleus,Alzheimer disease,7,14,146712
cff99df2-4904-44f7-9173-ff837f95606e,brain,Drop-seq,nucleus,Alzheimer disease,10,27,132305
ac0c6561-7a48-4185-af6f-af799f699172,brain,10x 3' v3,nucleus,Alzheimer disease,8,10,116332
ac0c6561-7a48-4185-af6f-af799f699172,brain,10x 3' v2,nucleus,Alzheimer disease,10,10,100698
215ede73-4f67-4a72-b77e-9c3b077b6dfc,brain,Drop-seq,nucleus,Alzheimer disease,10,27,98040
85c60876-7f35-40c5-a256-7808d84c6ba5,brain,10x 3' v2,cell,Alzheimer disease,4,8,73455
6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,63608
cff99df2-4904-44f7-9173-ff837f95606e,brain,10x 3' v2,nucleus,Alzheimer disease,3,5,61873
0ecea697-0f69-4d40-88e1-7f854e17e2b3,brain,10x 3' v3,nucleus,Alzheimer disease,7,14,44666
2727d83a-0af0-443a-bff8-58dc7028289a,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,42528
215ede73-4f67-4a72-b77e-9c3b077b6dfc,brain,10x 3' v2,nucleus,Alzheimer disease,3,5,38178
203025fe-fa99-4d57-81da-458ed8f0c334,brain,10x multiome,nucleus,Alzheimer disease,10,10,37007
0ecea697-0f69-4d40-88e1-7f854e17e2b3,brain,Drop-seq,nucleus,Alzheimer disease,10,27,22397
9813a1d4-d107-459e-9b2e-7687be935f69,brain,10x 3' v2,cell,Alzheimer disease,4,8,16987
873ff933-4fda-4936-9a70-67df11af90ac,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,15833
24066994-8183-488d-b037-ef6bb524af39,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,15772
0ecea697-0f69-4d40-88e1-7f854e17e2b3,brain,10x 3' v2,nucleus,Alzheimer disease,3,5,12231
cd77258f-b08b-4c89-b93f-6e6f146b1a4d,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,8362
f9ad5649-f372-43e1-a3a8-423383e5a8a2,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,8168
1492eb6b-7d50-4c4d-94ac-c801a7d5555c,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,7506
b94e3bdf-a385-49cc-b312-7a63cc28b77a,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,5970
9f1049ac-f8b7-45ad-8e31-6e96c3e5058f,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,5572
06b91002-4d3d-4d2e-8484-20c3b31e232c,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,5500
75a881cf-5d88-46e2-bf9b-97e5cbc1bd56,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,5331
bdacc907-7c26-419f-8808-969eab3ca2e8,brain,10x 3' v2,nucleus,Alzheimer disease,3,7,3799
67b6b9ac-b841-42ce-b2d4-ed2ec12327bd,lymph node,10x multiome,nucleus,B-cell non-Hodgkin lymphoma,15,213,598289
965386e9-1e4f-466d-bf59-ebdca4b66b9b,bone marrow,10x 5' v1,cell,B-cell non-Hodgkin lymphoma,5,17,92676
7bb64315-9e5a-41b9-9235-59acf9642a3e,esophagus,10x 3' v2,cell,Barrett esophagus,11,4,30139
e5233a94-9e43-418c-8209-6f1400c31530,esophagus,10x 3' v2,cell,Barrett esophagus,11,4,30139
9b188f26-c8e1-4a78-af15-622a35a371fc,esophagus,10x 3' v2,cell,Barrett esophagus,7,4,1681
63bb6359-3945-4658-92eb-3072419953e4,esophagus,10x 3' v2,cell,Barrett esophagus,11,4,1503
faed4f71-6b50-4fc7-bd1c-8f385dccfdce,esophagus,10x 3' v2,cell,Barrett esophagus,10,4,863
94423ec1-21f8-40e8-b5c9-c3ea82350ca4,esophagus,10x 3' v2,cell,Barrett esophagus,11,4,616
03d5794d-cde9-4769-a1a9-b3899d2b1d87,esophagus,10x 3' v2,cell,Barrett esophagus,7,4,568
9dbab10c-118d-496b-966a-67f1763a6b7d,blood,10x 5' v2,cell,COVID-19,25,136,1288001
ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,blood,10x 5' v1,cell,COVID-19,10,102,816915
c7775e88-49bf-4ba2-a03b-93f00447c958,blood,10x 3' transcription profiling,cell,COVID-19,29,86,632209
01ad3cd7-3929-4654-84c0-6db05bd5fd59,blood,10x 5' transcription profiling,cell,COVID-19,11,54,521099
9f222629-9e39-47d0-b83f-e08d610c7479,lung,10x 5' v1,cell,COVID-19,56,34,355703
2a498ace-872a-4935-984b-1afa70fd9886,blood,10x 5' v1,cell,COVID-19,35,25,324996
9f222629-9e39-47d0-b83f-e08d610c7479,lung,10x 3' v3,cell,COVID-19,24,6,259017
21d3e683-80a4-4d9b-bc89-ebb2df513dde,blood,10x 5' v1,cell,COVID-19,13,33,246964
edc8d3fe-153c-4e3d-8be0-2108d30f8d70,nose,10x 5' v1,cell,COVID-19,42,27,198232
9f222629-9e39-47d0-b83f-e08d610c7479,lung,10x 3' v3,nucleus,COVID-19,10,16,158660
96a3f64b-0ee9-40d8-91e9-813ce38261c9,blood,10x 3' v3,cell,COVID-19,11,33,154098
30cd5311-6c09-46c9-94f1-71fe4b91813c,blood,10x 5' v1,cell,COVID-19,13,33,125117
242c6e7f-9016-4048-af70-d631f5eea188,blood,10x 5' v1,cell,COVID-19,5,5,123247
d8da613f-e681-4c69-b463-e94f5e66847f,lung,10x 3' v3,nucleus,COVID-19,7,20,116313
bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,10x 3' v3,cell,COVID-19,11,33,77531
bc260987-8ee5-4b6e-8773-72805166b3f7,blood,10x 5' v1,cell,COVID-19,5,5,62584
59b69042-47c2-47fd-ad03-d21beb99818f,blood,10x 3' v3,cell,COVID-19,5,7,49139
de2c780c-1747-40bd-9ccf-9588ec186cee,blood,10x 3' v3,cell,COVID-19,4,8,49053
456e8b9b-f872-488b-871d-94534090a865,blood,Seq-Well,cell,COVID-19,6,7,44721
4c4cd77c-8fee-4836-9145-16562a8782fe,blood,10x 3' v3,cell,COVID-19,4,8,43512
055ca631-6ffb-40de-815e-b931e10718c0,blood,Seq-Well,cell,COVID-19,6,7,41305
96a3f64b-0ee9-40d8-91e9-813ce38261c9,blood,Seq-Well,cell,COVID-19,6,7,41305
edc8d3fe-153c-4e3d-8be0-2108d30f8d70,respiratory system,10x 5' v1,cell,COVID-19,17,6,38109
db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,10x 3' v3,cell,COVID-19,11,33,33890
13b61a7d-5605-4948-ba48-02c588960143,digestive system,Seq-Well S3,cell,COVID-19,15,35,26947
1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771,blood,10x 5' v1,cell,COVID-19,5,5,25374
bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,Seq-Well,cell,COVID-19,6,7,21897
693ae928-96ba-47de-b9d9-1321c675bfcd,blood,10x 5' v1,cell,COVID-19,5,5,21088
d9b4bc69-ed90-4f5f-99b2-61b0681ba436,blood,10x 3' v3,cell,COVID-19,11,33,13918
1a7e99fe-d5b6-44d7-aa50-c6ef6ab29761,blood,10x 5' v1,cell,COVID-19,5,5,13033
db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,Seq-Well,cell,COVID-19,6,7,8229
e763ed0d-0e5a-4b8e-9514-6da3d9e47956,blood,10x 3' v3,cell,COVID-19,11,33,6841
d9b4bc69-ed90-4f5f-99b2-61b0681ba436,blood,Seq-Well,cell,COVID-19,6,7,4360
e763ed0d-0e5a-4b8e-9514-6da3d9e47956,blood,Seq-Well,cell,COVID-19,3,7,181
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,small intestine,10x 3' v2,cell,Crohn disease,52,24,390590
e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3,small intestine,10x 3' v2,cell,Crohn disease,46,19,313394
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,small intestine,10x 3' v2,cell,Crohn disease,20,7,147580
a37f857c-779f-464e-9310-3db43a1811e7,small intestine,10x 3' v3,cell,Crohn disease,30,7,134256
07574da2-6bd3-4708-a04d-27d95c009f4e,small intestine,10x 3' v2,cell,Crohn disease,33,24,115927
fe4b89d5-461e-440c-a5a8-621b37b122c0,small intestine,10x 3' v2,cell,Crohn disease,6,5,81976
dc6b1e06-3880-43f6-8de8-ef9cb5e7ef5e,small intestine,10x 3' v2,cell,Crohn disease,41,19,79454
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,small intestine,10x 3' v3,cell,Crohn disease,32,7,78749
fe4b89d5-461e-440c-a5a8-621b37b122c0,small intestine,10x 3' v3,cell,Crohn disease,30,7,72160
07574da2-6bd3-4708-a04d-27d95c009f4e,small intestine,10x 3' v3,cell,Crohn disease,30,7,70048
a37f857c-779f-464e-9310-3db43a1811e7,small intestine,10x 3' v2,cell,Crohn disease,6,5,66816
0f4865d5-8000-4f68-8ac7-f5efea9e5e70,small intestine,10x 3' v2,cell,Crohn disease,6,5,60088
518d9049-2a76-44f8-8abc-1e2b59ab5ba1,colon,10x 3' v3,cell,Crohn disease,13,3,58416
6d50d513-c158-4b0f-b1df-b54c8572163b,small intestine,10x 3' v2,cell,Crohn disease,27,19,38731
1d54fb17-90d5-47ca-ad8d-22ab63cb5c1f,small intestine,10x 3' v2,cell,Crohn disease,37,18,36319
5ce42b38-d867-487f-9b40-e8bb00b21d0b,colon,10x 3' v3,cell,Crohn disease,13,3,29307
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,colon,10x 3' v3,cell,Crohn disease,14,3,28338
8e47ed12-c658-4252-b126-381df8d52a3d,small intestine,10x 3' v2,cell,Crohn disease,8,7,22502
0f4865d5-8000-4f68-8ac7-f5efea9e5e70,small intestine,10x 3' v3,cell,Crohn disease,28,7,15607
40a0ade8-6067-4e22-9224-4d3c5e9bfc0d,small intestine,10x 3' v2,cell,Crohn disease,44,19,12487
9c235282-2b6f-4f74-8f16-7d3ac1b51371,small intestine,10x 3' v2,cell,Crohn disease,44,19,12455
