gsm,B,CD4T,CD8T,Macrophage,Mast,Mono,NK,Plasma,Treg,pDC,dataset,condition
GSM6102532,15,47,58,131,2,74,102,3,10,0,GSE179640,Control
GSM6102533,4,150,87,363,18,33,553,11,12,4,GSE179640,Control
GSM6102534,107,150,262,194,7,468,232,7,22,13,GSE179640,Control
GSM6102537,59,78,190,117,16,98,851,10,28,48,GSE179640,Endometriosis
GSM6102540,20,33,82,329,2,146,85,1,15,5,GSE179640,Endometriosis
GSM6102543,32,154,132,140,53,168,257,8,15,6,GSE179640,Endometriosis
GSM6102546,185,493,183,336,23,552,309,37,41,7,GSE179640,Endometriosis
GSM6102549,71,187,436,112,17,16,340,4,75,0,GSE179640,Endometriosis
GSM6102550,25,149,402,167,19,141,74,7,14,4,GSE179640,Endometriosis
GSM6102551,9,35,89,103,9,19,39,8,5,4,GSE179640,Endometriosis
GSM6102552,10,108,136,63,1,9,349,6,3,1,GSE179640,Endometriosis
GSM6102553,28,122,45,116,2,102,372,1,21,4,GSE179640,Endometriosis
GSM6102554,13,69,26,70,3,42,181,1,14,2,GSE179640,Endometriosis
GSM6102555,121,273,130,87,20,107,394,14,52,7,GSE179640,Endometriosis
GSM6102556,119,510,669,224,49,87,428,21,44,3,GSE179640,Endometriosis
GSM6102560,23,58,116,74,2,52,161,9,11,0,GSE179640,Endometriosis
GSM6102562,0,2,2,855,13,82,189,4,0,28,GSE179640,Endometriosis
GSM6595248,49,327,243,424,4,549,656,6,24,21,GSE179640,Endometriosis
GSM6595249,16,216,298,632,30,493,330,2,22,24,GSE179640,Endometriosis
GSM6595250,79,314,179,196,10,380,450,9,25,12,GSE179640,Endometriosis
GSM6595251,28,60,147,48,3,187,85,3,10,4,GSE179640,Endometriosis
GSM6595252,5,218,448,943,12,417,305,4,71,19,GSE179640,Endometriosis
GSM6595253,3,66,173,118,0,62,55,1,5,3,GSE179640,Endometriosis
GSM6595254,4,89,92,152,12,471,85,0,17,1,GSE179640,Endometriosis
GSM6595255,3,26,12,80,5,118,52,6,0,3,GSE179640,Endometriosis
GSM6595256,160,231,212,265,5,77,212,18,129,9,GSE179640,Endometriosis
GSM6595257,144,119,253,401,22,63,350,34,198,10,GSE179640,Endometriosis
GSM6595258,116,176,230,126,5,56,194,17,48,2,GSE179640,Endometriosis
GSM6595259,16,22,22,21,1,28,65,1,5,4,GSE179640,Endometriosis
GSM6595260,31,55,55,23,3,9,120,6,3,1,GSE179640,Endometriosis
GSM6595261,2,22,23,66,8,43,137,6,11,19,GSE179640,Endometriosis
GSM6605431,0,364,646,98,66,130,1191,4,53,8,GSE214411,Endometriosis
GSM6605432,7,211,270,216,25,50,1046,0,88,4,GSE214411,Endometriosis
GSM6605433,31,430,625,117,208,50,1407,21,132,7,GSE214411,Endometriosis
GSM6605434,7,316,488,163,30,250,1220,2,64,28,GSE214411,Endometriosis
GSM6605435,3,248,385,91,69,12,1278,0,44,4,GSE214411,Endometriosis
GSM6605436,5,204,422,59,66,72,1020,0,34,13,GSE214411,Endometriosis
GSM6605437,7,109,93,81,10,34,707,1,5,1,GSE214411,Control
GSM6605438,10,98,265,65,11,7,242,8,20,0,GSE214411,Control
GSM6605439,11,809,1478,488,16,99,1497,38,101,22,GSE214411,Control
GSM6605440,4,219,429,182,5,17,320,5,34,5,GSE214411,Control
