gsm,cond,n_immune,Treg_pct,dataset,lt,treg_n,other_n
GSM6102532,Control,442,2.262443438914027,GSE179640,0.8596964388987539,10,432
GSM6102533,Control,1235,0.97165991902834,GSE179640,0.0692087726050783,12,1223
GSM6102534,Control,1462,1.5047879616963065,GSE179640,0.4729916367618962,22,1440
GSM6102537,Endometriosis,1495,1.872909698996656,GSE179640,0.6795094576183432,28,1467
GSM6102540,Endometriosis,718,2.0891364902506964,GSE179640,0.7835071693838505,15,703
GSM6102543,Endometriosis,965,1.5544041450777202,GSE179640,0.5034409108158509,15,950
GSM6102546,Endometriosis,2166,1.8928901200369344,GSE179640,0.6895859067639342,41,2125
GSM6102549,Endometriosis,1258,5.961844197138315,GSE179640,1.8020140767445012,75,1183
GSM6102550,Endometriosis,1002,1.3972055888223551,GSE179640,0.4036004298907257,14,988
GSM6102551,Endometriosis,320,1.5625,GSE179640,0.5083224935478722,5,315
GSM6102552,Endometriosis,686,0.4373177842565597,GSE179640,-0.6211655824901624,3,683
GSM6102553,Endometriosis,813,2.5830258302583027,GSE179640,0.9869451987763104,21,792
GSM6102554,Endometriosis,421,3.32541567695962,GSE179640,1.2312228298856434,14,407
GSM6102555,Endometriosis,1205,4.315352697095436,GSE179640,1.485087716957031,52,1153
GSM6102556,Endometriosis,2154,2.042711234911792,GSE179640,0.762071959354145,44,2110
GSM6102560,Endometriosis,506,2.1739130434782608,GSE179640,0.8215021551417275,11,495
GSM6102562,Endometriosis,1175,0.0,GSE179640,-2.302585092994045,0,1175
GSM6595248,Endometriosis,2303,1.0421189752496742,GSE179640,0.1328852872868797,24,2279
GSM6595249,Endometriosis,2063,1.0664081434803685,GSE179640,0.1539290639697369,22,2041
GSM6595250,Endometriosis,1654,1.5114873035066507,GSE179640,0.4771575435619901,25,1629
GSM6595251,Endometriosis,575,1.7391304347826086,GSE179640,0.6092928701230826,10,565
GSM6595252,Endometriosis,2442,2.907452907452908,GSE179640,1.1010935103743305,71,2371
GSM6595253,Endometriosis,486,1.02880658436214,GSE179640,0.1211609546030091,5,481
