,score,tissue,sampleid,cell type
GSM8206926,-0.4575346416934603,eutopic endometrium,5322,Epithelium
GSM8206942,-0.28293709562424507,endometriotic lesion,12529,Stroma
GSM8206931,1.7109670180039607,endometriotic lesion,5322,Macrophages
GSM8206947,-0.2797542649470828,eutopic endometrium,4909,Epithelium
GSM8206963,-0.30266159865978187,eutopic endometrium,9997,Stroma
GSM8206933,0.44920368358341733,endometriotic lesion,5322,Stroma
GSM8206953,-0.12538298371365694,endometriotic lesion,4909,Stroma
GSM8206938,-0.10719576997882875,eutopic endometrium,12529,Epithelium
GSM8206960,-0.24508511809289787,eutopic endometrium,9997,Stroma
GSM8206950,-0.3700688755380212,eutopic endometrium,4909,Epithelium
GSM8206919,1.3726596048146968,endometriotic lesion,2756,Macrophages
GSM8206922,0.9044017278093016,eutopic endometrium,5322,Macrophages
GSM8206957,0.3337644086267835,endometriotic lesion,4909,Macrophages
GSM8206936,-0.3293677391248727,eutopic endometrium,12529,Stroma
GSM8206965,-0.4574729347706758,endometriotic lesion,9997,Epithelium
GSM8206925,0.785615358189899,eutopic endometrium,5322,Macrophages
GSM8206948,0.3492546088316912,eutopic endometrium,4909,Stroma
GSM8206956,1.0591799292594475,endometriotic lesion,4909,Macrophages
GSM8206959,-0.6314898427006006,eutopic endometrium,9997,Epithelium
GSM8206941,-0.5368252733504466,endometriotic lesion,12529,Epithelium
GSM8206961,0.7366919588081272,eutopic endometrium,9997,Macrophages
GSM8206955,-0.26198922189510376,endometriotic lesion,4909,Stroma
GSM8206915,-0.4332605487235555,eutopic endometrium,2756,Stroma
GSM8206921,-0.16540885711489373,endometriotic lesion,2756,Stroma
GSM8206968,-0.47424391524758935,endometriotic lesion,9997,Epithelium
GSM8206964,0.851742024874858,endometriotic lesion,9997,Macrophages
GSM8206946,0.9329568336262908,eutopic endometrium,4909,Macrophages
GSM8206966,-0.22630507513600773,endometriotic lesion,9997,Stroma
GSM8206940,0.20699432537673154,endometriotic lesion,12529,Macrophages
GSM8206910,-1.3083344021249408,eutopic endometrium,2756,Macrophages
GSM8206911,-0.9348934074186201,eutopic endometrium,2756,Epithelium
GSM8206945,-0.07708301285578933,endometriotic lesion,12529,Stroma
GSM8206935,-0.3722858081553173,eutopic endometrium,12529,Epithelium
GSM8206951,0.19267730210709366,eutopic endometrium,4909,Stroma
GSM8206927,0.3066226396943254,eutopic endometrium,5322,Stroma
GSM8206967,1.2501413334974003,endometriotic lesion,9997,Macrophages
GSM8206930,0.3633363460182383,endometriotic lesion,5322,Stroma
GSM8206958,1.1684462344769218,eutopic endometrium,9997,Macrophages
GSM8206954,-0.5314146232537384,endometriotic lesion,4909,Epithelium
GSM8206943,0.9101132758116148,endometriotic lesion,12529,Macrophages
GSM8206916,0.7981561959866551,endometriotic lesion,2756,Macrophages
GSM8206914,-0.8820229882840422,eutopic endometrium,2756,Epithelium
GSM8206923,-0.36114578494070626,eutopic endometrium,5322,Epithelium
GSM8206969,-0.2270770853884131,endometriotic lesion,9997,Stroma
GSM8206924,0.3245690323719815,eutopic endometrium,5322,Stroma
GSM8206962,-0.524621501443131,eutopic endometrium,9997,Epithelium
GSM8206932,-0.5950286837165587,endometriotic lesion,5322,Epithelium
GSM8206920,-0.837351257791133,endometriotic lesion,2756,Epithelium
GSM8206937,0.6847935591089085,eutopic endometrium,12529,Macrophages
GSM8206949,0.3909915548418739,eutopic endometrium,4909,Macrophages
GSM8206929,-0.7963371910718291,endometriotic lesion,5322,Epithelium
GSM8206917,-1.3018736926250998,endometriotic lesion,2756,Epithelium
GSM8206939,0.006569640762998213,eutopic endometrium,12529,Stroma
GSM8206934,-0.9396941910346855,eutopic endometrium,12529,Macrophages
GSM8206913,-1.3479651124468652,eutopic endometrium,2756,Macrophages
GSM8206928,1.3668620372963565,endometriotic lesion,5322,Macrophages
GSM8206918,0.030131330560821106,endometriotic lesion,2756,Stroma
GSM8206952,-0.6240305663640089,endometriotic lesion,4909,Epithelium
GSM8206912,0.15197647795975855,eutopic endometrium,2756,Stroma
GSM8206944,-0.29067537707355373,endometriotic lesion,12529,Epithelium
