gene,lfc,p,nlp
A2M,0.4252566910698844,0.33927723445570496,0.46944528059055934
NAT2,0.027850412313751315,0.9668869612413546,0.014624296318951156
ACADM,0.21784261025448562,0.5158371201834344,0.2874874087844064
ACADS,0.19498509297582783,0.7659888703500781,0.11577754052491773
ACAT1,-1.1703438154388006,0.0010844615214698429,2.964785852879648
PSEN1,-0.4026087613214589,0.18470937600103304,0.7335110588523327
ADA,0.5648795239586274,0.18716019532946765,0.7277865102288118
SGCA,-0.1939460703223154,0.8340440401955702,0.07881101661772741
ADRB2,-0.7152542608121558,0.1265308014473461,0.8978037411260066
ADRB3,-0.4486375656563791,0.1872120072954364,0.7276663001763416
AGL,0.022846923081052673,0.9656291192359966,0.01518964625284765
AGXT,0.18097446009028853,0.7663159150101374,0.11559215483048749
ABCD1,0.5849952974054962,0.27676026015297794,0.5578962698341541
ALDOB,-0.9266995363192254,0.2631203670413294,0.5798455337032946
AMPD1,-0.1459788331272032,0.762638249077886,0.1176814170706137
APC,0.3316633260429903,0.41212678359534316,0.3849691603123894
APOA1,-0.5968928554066993,0.2712622643292156,0.5666106173458342
APOC3,-0.11271521398470223,0.7515429680736233,0.12404618438670148
APOE,0.5265466244359958,0.3614232610193906,0.44198389990105896
ARSB,-0.24837629093915528,0.6793300277872892,0.16791918827383676
ASL,0.9368196184156503,0.2822259674412535,0.5494030295695842
ASS1,-0.2795665970842171,0.3669243066056945,0.4354235178023108
ATP7A,-0.28398905776647165,0.4662576573261454,0.33137402272817096
ATP7B,0.002542898150575357,0.9950098113204267,0.0021726368609945976
AVPR2,0.07774934007488161,0.9254444433289896,0.033649647877979354
BLM,0.6101727294424405,0.1359076326965601,0.8667561522085345
BRCA2,0.4696252340532608,0.28451683684356616,0.5458920282780706
BTD,-0.26383867029957375,0.6784621988294265,0.16847434446278656
BTK,0.7969490546649596,0.1069502803337138,0.9708180727359741
SERPING1,-0.10454590505770707,0.7566013041282268,0.12113291446383453
C2,0.8684337361513886,0.2263755344664456,0.6451705113192807
C3,-0.4707202659657897,0.5191272042345187,0.284726211846706
C8B,-0.3707061412841893,0.33779035898512816,0.4713527499672311
CA2,-0.05530778336167399,0.9013312864759241,0.045115553699939234
CACNA1S,0.888419183732349,0.09961149314035737,1.001690549935012
CBS,-0.6368899489958806,0.3079465617798279,0.5115246404400495
CD36,-0.3421425853794888,0.6886612643610744,0.16199434441027763
CD3G,0.15359921564646628,0.8171134879876029,0.08771762059867758
CDK4,-0.512855621842033,0.3539587960662665,0.4510472907498053
CDKN1C,-0.5861357710882109,0.0789070282989556,1.1028843121833287
CHRNE,-0.47603459008550386,0.01689063910140356,1.772353917453159
LYST,-0.3879724599058493,0.5929467824553248,0.22698428323460387
ERCC8,0.2773524498545871,0.6176141895433893,0.20928273474226222
CLCN5,-0.5526377641796767,0.43118967694870647,0.36533164507985
CLN3,0.4890199884800035,0.3697989440078352,0.4320343333397038
CNGA1,-0.40743500411291295,0.38560959720406623,0.4138521657419774
COL1A1,-0.29564281538245024,0.6885292525805937,0.1620776037520743
COL1A2,0.0017499999058600223,0.9982383395976505,0.000765754089270774
COL4A3,-0.015722556125160093,0.9597386648045622,0.017847008506624965
COL5A1,-0.12864378614024394,0.8045176334240788,0.09446443259062134
COMP,-0.4327371063602934,0.5800860129158798,0.2365076061522708
CP,0.3436603689183037,0.4874406007102555,0.3120782996690204
CPOX,-0.28104195966904355,0.637807782222612,0.1953101860091492
CPT2,-0.2675503881415697,0.40153102778278443,0.3962808895529302
CST3,0.791692091909181,0.08719530754259763,1.0595068862049435
CSTB,0.8671546264123133,0.15088405123440646,0.8213566636501781
CYP17A1,-0.14028948467662383,0.8113540794794375,0.09078957586885977
CYP19A1,-0.3389399939396466,0.4477875044889055,0.3489280295761772
CYP1B1,0.1838522834146376,0.7364547894773961,0.1328539090836167
CYP2D6,0.44932810832233444,0.3476158812639724,0.458900390486449
DDB2,0.24773009718242278,0.4588078295043297,0.33836917952074097
DLD,-0.10130028452939888,0.8469464367997869,0.07214405476711205
SLC26A2,-0.37299157237887026,0.46687016881830445,0.3308038749051199
TOR1A,-0.7695962614470913,0.1284225645878702,0.8913586615084573
EMD,-0.5586192344951538,0.18453847248581837,0.7339130785753984
EPB42,-0.507366445992426,0.4818528070218457,0.31708560670074815
EPHX1,-0.05913912535822843,0.921147246099104,0.03567094194542226
EPOR,-0.43384687724862625,0.48249323618814177,0.3165087704170924
ERCC5,-0.2720052459992819,0.6041543593883147,0.2188520864352794
ESR1,-0.17014399308306388,0.7997691625534071,0.09703534537764363
EXT1,-0.0019624203228262973,0.9975641528219176,0.0010591654951809942
F11,0.1978649443758782,0.5910627433443674,0.22836641481774383
F13A1,0.17330152639382518,0.6858400810878228,0.16377713793408094
F5,0.4294592873275821,0.31695292656980273,0.499005233836008
F9,-0.4884864289278519,0.34934757320239107,0.45674226929376843
FANCA,0.16269857156168627,0.5377466478903572,0.2694222881599476
FAH,0.6461897174558998,0.04693439846485305,1.3285087439016536
MS4A2,0.06174441001369999,0.9158873614212157,0.03815793388799314
FECH,-0.07336986379338498,0.9089571201569767,0.04145660403706288
FGFR2,0.5052671454595228,0.19649593150797764,0.7066464373594304
FH,0.6260365569450275,0.2207384940241025,0.656121924724675
FSHR,0.21842773798868897,0.6631859326650598,0.1783646945065379
FUCA1,0.7671177664330281,0.23876653571939785,0.622026541742076
FUT1,-1.1913895014327536,0.03664072746673554,1.4360359124154127
FUT6,-0.7365298632498023,0.43683154369893096,0.35968600867383294
G6PC1,-0.333887985527602,0.5884475118923601,0.23029226911982634
GALC,0.17018593349335065,0.6804133217792705,0.16722719194572933
GALK1,0.7686552769055877,0.15198692309950976,0.818193776989672
GALT,-0.3479704974531866,0.431205685622401,0.3653155214341286
GBE1,0.5842547491226961,0.26683831411843045,0.5737518118786048
GCDH,-1.0964269971945289,0.06151145595674945,1.2110439932412695
GCGR,-0.3200965248736329,0.6127503031759065,0.21271646519609552
GHR,-0.3015310335540935,0.5690953200699502,0.24481498577834385
GIPR,0.7499699230770546,0.1192815256861685,0.9234268146183872
GJA1,-0.2273446015729962,0.6317074335496836,0.19948401256168102
GJB1,-0.16346167347237986,0.7424349072685306,0.12934161696470112
GK,0.030851441506321152,0.96956302643424,0.013423954359462675
GLI3,0.2020312624300587,0.49725403801328527,0.3034216814468308
GLDC,-0.9236653905474668,0.1678975052850456,0.7749557568041059
