,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,pair,nlp
14,Treg,Treg,HLA-B,CD3D,2.9499483,0.0,8.33105,2.00613174778026,2.0542097702845545,0.031192046,0.9674429,0.0033030598892734,2.277913110065944e-06,HLA-B → CD3D,2.4810835518474397
19,CD8T,Treg,HLA-B,CD3D,2.8954787,0.0,8.076052,1.9604983965500384,1.9867145689396064,0.030237317,0.9669498,0.0040749555412743,3.3256787382310426e-06,HLA-B → CD3D,2.3898771251533475
30,Mono,Treg,HLA-B,CD3D,2.8006902,0.0,7.6323028,1.8810840596759464,1.822005096901261,0.028575888,0.96603477,0.0055376378521199,9.108594902906078e-06,HLA-B → CD3D,2.256675449451526
37,NK,Treg,HLA-B,CD3D,2.7599292,0.0,7.441482,1.8469399888581988,1.84990389848066,0.027861442,0.96561694,0.0063430380647455,1.3297320691065103e-05,HLA-B → CD3D,2.1977026823816117
44,Endothelial,Treg,HLA-B,CD3D,2.749466,0.0,7.392498,1.8381685573177324,1.8027458690978508,0.02767804,0.9655071,0.0066015972266523,1.6699073081253404e-05,HLA-B → CD3D,2.1803509761551148
54,CD4T,Treg,HLA-B,CD3D,2.7117815,0.0,7.2160807,1.8065984532139088,1.7068680937701308,0.027017523,0.9651027,0.0075811010513615,2.1640853482065837e-05,HLA-B → CD3D,2.1202677144465327
70,pDC,Treg,HLA-B,CD3D,2.6665616,0.0,7.004385,1.7687141892159557,1.6094812188082044,0.026224919,0.96459776,0.0097573177890195,3.059787359294711e-05,HLA-B → CD3D,2.010669550112022
76,B,Treg,HLA-B,CD3D,2.6531358,0.0,6.941533,1.757466467773981,1.588550121541462,0.025989596,0.9644435,0.0106240061319404,3.4909617867851853e-05,HLA-B → CD3D,1.9737116873108553
81,Macrophage,Treg,HLA-B,CD3D,2.6395857,0.0,6.8780985,1.7461135970934702,1.629475007853048,0.025752092,0.9642858,0.009935754000017,4.109992988849926e-05,HLA-B → CD3D,2.00279916975986
151,Plasma,Treg,HLA-B,CD3D,2.3766403,0.0,5.6471305,1.525822733333405,1.3649320237469076,0.02114326,0.9607303,0.0248451760835615,0.0002122392819185,HLA-B → CD3D,1.6047579209611884
237,Mono,Treg,S100A9,ITGB2,2.5952826,0.0,3.495048,2.070990639563368,3.1832092798755056,0.054502293,0.9506093,0.0024080334565981,0.0006045698381778,S100A9 → ITGB2,2.618337483396356
