state,CD48,CD59,HLA-B,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,LGALS1,S100A8,S100A9,VCAN,VIM,CD2,CD3D,CD4,CD44,ITGB2,PTPRC
Macrophage,0.5230026012634709,0.4655518394648829,0.958082497212932,0.903901895206243,0.8962467484206614,0.956893348197696,0.9195094760312152,0.896098104793757,0.348197696023783,0.5544407283537718,0.2494983277591973,0.9472315124489038,0.0784838350055741,0.0474916387959866,0.5991824600520252,0.7852099591230026,0.7652917131178001,0.7942772203641769
Mono,0.4908784526338925,0.1489486409260751,0.9482745988717122,0.6147703128434318,0.5758663638361785,0.826141109238772,0.7051798666568979,0.844750531174445,0.7654773243461059,0.837717048868049,0.7092094658949374,0.937944171734193,0.0604439885705912,0.0564876547732434,0.3444941021320243,0.9029965565242876,0.5835592351087991,0.6936039270276211
pDC,0.3377659574468085,0.2007978723404255,0.9813829787234044,0.910904255319149,0.8936170212765957,0.9654255319148936,0.9268617021276596,0.7832446808510638,0.1077127659574468,0.151595744680851,0.0625,0.9348404255319148,0.1183510638297872,0.0478723404255319,0.5651595744680851,0.5678191489361702,0.3577127659574468,0.6449468085106383
B,0.6180568456251161,0.0886122979751068,0.9578302062047186,0.8874233698681033,0.8907672301690507,0.96544677689021,0.9234627531116478,0.4538361508452536,0.0939996284599665,0.1803826862344417,0.0261935723574215,0.7657440089169608,0.0490432844138956,0.0551736949656325,0.0057588705182983,0.5688277911945012,0.1499164034924763,0.5652981608768345
CD8T,0.7271633764947286,0.0951673388523314,0.9917215028656337,0.4358593363051015,0.5068279912262081,0.2865633623434515,0.3965187858204202,0.5701549564848227,0.0426661006155805,0.0774074860256138,0.0380669355409325,0.906530814406,0.7742871294134296,0.8718601853817307,0.034458359866978,0.6843557631076205,0.5177244746338358,0.9233708342177882
Treg,0.693135935397039,0.2220726783310901,0.9883355764917005,0.4217137729923733,0.4378645132346344,0.2987886944818304,0.3822341857335128,0.5643786451323464,0.0529385374607447,0.0969044414535666,0.0390309555854643,0.8730372364288919,0.8402871242709735,0.8627187079407806,0.4073575594436967,0.7344100493494841,0.4279946164199192,0.9057873485868102
Plasma,0.4933837429111531,0.444234404536862,0.9754253308128544,0.5689981096408318,0.3950850661625709,0.4839319470699433,0.499054820415879,0.77882797731569,0.1209829867674858,0.1568998109640831,0.052930056710775,0.8998109640831758,0.0378071833648393,0.0472589792060491,0.0151228733459357,0.6332703213610587,0.1701323251417769,0.4952741020793951
Mast,0.4404024767801857,0.3893188854489164,0.8831269349845201,0.1509287925696594,0.1184210526315789,0.1517027863777089,0.1509287925696594,0.6462848297213623,0.0588235294117647,0.0905572755417956,0.0464396284829721,0.8722910216718266,0.0456656346749226,0.0472136222910216,0.0371517027863777,0.7546439628482973,0.0990712074303405,0.5479876160990712
NK,0.3616745791972378,0.3108425646189997,0.956648923416295,0.1708387282405409,0.1751066992758835,0.1978851963746223,0.139835994820889,0.7348822711360475,0.0937035438546012,0.1390207643984079,0.0658418452980386,0.8113221119263415,0.3676928979043782,0.197813264278521,0.02565578094279,0.5892437538963219,0.3174842948256846,0.8206493070541409
CD4T,0.7011888566865795,0.1414798604128467,0.9813095167682024,0.1234991423670669,0.1301236174365647,0.1321937658957828,0.0865913526941503,0.3927958833619211,0.0684923404507008,0.1191814041521263,0.030165020405749,0.8837759507896138,0.7066895368782161,0.746791269888212,0.1880877742946708,0.6745726622109186,0.3015319098598213,0.8157567871295913
