state,CD48,CD59,HLA-B,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,LGALS1,S100A8,S100A9,VCAN,VIM
Macrophage,0.5230026012634709,0.46555183946488293,0.958082497212932,0.903901895206243,0.8962467484206614,0.956893348197696,0.9195094760312151,0.896098104793757,0.348197696023783,0.5544407283537718,0.24949832775919734,0.9472315124489038
Mono,0.49087845263389257,0.14894864092607518,0.9482745988717122,0.6147703128434318,0.5758663638361785,0.826141109238772,0.7051798666568979,0.844750531174445,0.7654773243461059,0.837717048868049,0.7092094658949374,0.937944171734193
pDC,0.3377659574468085,0.20079787234042554,0.9813829787234043,0.910904255319149,0.8936170212765957,0.9654255319148937,0.9268617021276596,0.7832446808510638,0.1077127659574468,0.15159574468085107,0.0625,0.9348404255319149
B,0.6180568456251161,0.08861229797510682,0.9578302062047186,0.8874233698681033,0.8907672301690507,0.96544677689021,0.9234627531116478,0.4538361508452536,0.09399962845996657,0.18038268623444176,0.02619357235742151,0.7657440089169608
CD8T,0.7271633764947286,0.09516733885233142,0.9917215028656337,0.43585933630510154,0.5068279912262081,0.2865633623434515,0.39651878582042027,0.5701549564848227,0.04266610061558056,0.07740748602561381,0.038066935540932566,0.9065308144060001
Treg,0.693135935397039,0.22207267833109018,0.9883355764917003,0.4217137729923733,0.4378645132346344,0.29878869448183043,0.3822341857335128,0.5643786451323464,0.05293853746074473,0.09690444145356662,0.039030955585464336,0.8730372364288919
Plasma,0.4933837429111531,0.444234404536862,0.9754253308128544,0.5689981096408318,0.3950850661625709,0.4839319470699433,0.499054820415879,0.77882797731569,0.12098298676748583,0.15689981096408318,0.052930056710775046,0.8998109640831758
Mast,0.44040247678018574,0.3893188854489164,0.8831269349845201,0.15092879256965944,0.11842105263157894,0.15170278637770898,0.15092879256965944,0.6462848297213623,0.058823529411764705,0.09055727554179567,0.04643962848297214,0.8722910216718266
NK,0.36167457919723783,0.3108425646189997,0.956648923416295,0.17083872824054092,0.17510669927588357,0.19788519637462235,0.13983599482088907,0.7348822711360475,0.09370354385460125,0.1390207643984079,0.06584184529803865,0.8113221119263415
CD4T,0.7011888566865795,0.14147986041284674,0.9813095167682025,0.1234991423670669,0.13012361743656473,0.1321937658957828,0.08659135269415036,0.3927958833619211,0.06849234045070089,0.11918140415212634,0.030165020405749098,0.8837759507896138
