source,Macrophage,Mono,pDC,B,CD8T,Treg,Plasma,Mast,NK,CD4T,Endothelial,Epithelial,SmoothMuscle,Stromal_Fib
Macrophage,50,66,32,16,33,35,9,17,24,21,45,19,25,15
Mono,50,61,37,15,33,25,12,20,29,13,43,29,18,16
pDC,27,27,22,10,23,19,7,13,18,5,22,14,13,9
B,18,22,13,7,24,23,3,3,15,10,12,5,4,3
CD8T,17,26,14,3,21,12,1,1,22,5,12,13,6,2
Treg,18,23,12,5,18,8,3,0,20,4,12,8,6,2
Plasma,2,8,3,2,6,2,2,1,6,0,6,0,1,0
Mast,10,15,8,3,9,5,3,2,10,1,16,13,9,3
NK,16,30,12,5,21,13,1,2,19,4,23,14,13,8
CD4T,16,18,9,7,16,7,3,3,18,5,13,5,4,1
Endothelial,34,57,29,7,22,19,9,9,27,10,62,17,33,21
Epithelial,30,38,25,13,19,14,7,16,9,10,62,22,34,14
SmoothMuscle,23,46,17,5,12,11,18,10,12,7,67,15,28,12
Stromal_Fib,30,57,18,4,7,12,17,15,11,3,87,34,23,11
