state,CD2,CD3D,CD4,CD44,ITGB2,PTPRC
Macrophage,0.07848383500557414,0.04749163879598662,0.5991824600520252,0.7852099591230026,0.7652917131178001,0.7942772203641769
Mono,0.06044398857059125,0.05648765477324346,0.3444941021320243,0.9029965565242875,0.5835592351087991,0.6936039270276211
pDC,0.11835106382978723,0.047872340425531915,0.5651595744680851,0.5678191489361702,0.35771276595744683,0.6449468085106383
B,0.0490432844138956,0.05517369496563255,0.005758870518298346,0.5688277911945012,0.1499164034924763,0.5652981608768345
CD8T,0.7742871294134296,0.8718601853817307,0.034458359866978,0.6843557631076205,0.5177244746338358,0.9233708342177882
Treg,0.8402871242709735,0.8627187079407806,0.4073575594436967,0.7344100493494841,0.42799461641991926,0.9057873485868102
Plasma,0.03780718336483932,0.04725897920604915,0.015122873345935728,0.6332703213610587,0.17013232514177692,0.4952741020793951
Mast,0.0456656346749226,0.04721362229102167,0.03715170278637771,0.7546439628482973,0.09907120743034056,0.5479876160990712
NK,0.36769289790437826,0.19781326427852108,0.025655780942790005,0.5892437538963219,0.3174842948256846,0.8206493070541409
CD4T,0.7066895368782161,0.746791269888212,0.18808777429467086,0.6745726622109186,0.30153190985982137,0.8157567871295913
