state,CD2,CD3D,CD4,CD44,ITGB2,PTPRC
Macrophage,0.072512046,0.05554276,0.73151135,1.4311353,1.4303209,1.4434474
Mono,0.079109594,0.0874137,0.41323692,2.412497,1.1851051,1.4949064
pDC,0.12326523,0.07004887,0.8274462,0.7858978,0.37626538,0.9571991
B,0.067296796,0.084712856,0.0063961325,0.9920517,0.19326389,1.0443966
CD8T,1.771,2.0502253,0.050366066,1.2819469,0.87994164,2.4651027
Treg,1.8925122,2.0055099,0.59872675,1.307785,0.6244946,2.322132
Plasma,0.029039094,0.04929013,0.010467146,0.72141457,0.12605062,0.5533226
Mast,0.070801966,0.076345675,0.03857153,1.6706668,0.12050175,0.9137455
NK,0.615537,0.3757242,0.031557165,1.1107372,0.534117,1.9423882
CD4T,1.4068846,1.537753,0.2537878,1.2042496,0.44177452,1.8224179
