,outgoing,incoming,n_out,n_in
Macrophage,458.24642718,359.87202494,407,341
Mono,551.84181294,565.75387083,401,494
pDC,256.71549059,253.64050657,229,251
B,201.32289946,105.55918969,162,102
CD8T,227.90777006,394.27068614,155,264
Treg,181.34398183,227.76624845999999,139,205
Plasma,43.97127013,69.91773062,39,95
Mast,97.69549113,113.43605833,107,112
NK,215.65654638,366.99396715,181,240
CD4T,151.25645525,125.31541644,125,98
Endothelial,360.99689532,433.63675671,356,482
Epithelial,238.795841367,189.601329276,313,208
SmoothMuscle,231.21508381,203.0916814,283,217
Stromal_Fib,306.76570154,114.876200431,329,117
