pair,B,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Mast,Mono,NK,Plasma,SmoothMuscle,Stromal_Fib,Treg,pDC
CD48 → CD2,1.9327111,1.9613489,1.9332004,,,1.5189326,1.4798015,1.8187385,1.634284,1.3768336,,,1.8276192,1.456219
HLA-DPB1 → CD4,1.7924488,0.52095854,0.8704019,1.0423613,0.58263505,2.0142827,0.50920033,1.2765791,0.624272,0.6605599,0.52105373,0.51629835,0.8667357,1.6148713
VCAN → CD44,,,,0.72130555,0.7371437,0.8827448,,2.0564919,0.6776546,,0.69408995,1.0521011,,0.66341084
CD59 → CD2,,1.2159015,1.1958709,2.0594988,1.5162884,1.4094331,1.4728973,1.1829922,1.2917738,1.268785,1.7734165,1.568053,1.2974298,1.2280927
HLA-DPA1 → CD4,1.7609177,0.51345944,0.8075354,1.1739254,0.6125756,2.1237297,0.5606612,1.3745868,0.6028452,0.7843224,,0.4695993,0.8682277,1.7888691
HLA-DRB1 → CD4,1.7358766,0.49127096,0.76331115,1.4481981,0.81281805,2.1437461,0.5848803,1.5553508,0.5737496,0.69052494,,0.4648575,0.79726475,1.6334345
S100A8 → ITGB2,,,,,,0.777004,,2.3205414,,0.42573035,,,,
HLA-DRA → CD4,2.309288,0.5150373,0.65834427,1.4018137,0.92746925,2.4712489,0.5502021,1.8991077,0.58637947,0.78057766,0.48289475,0.48790246,0.72877973,2.064938
S100A9 → ITGB2,0.45585504,0.4665566,0.4585468,,0.49117056,1.0899898,0.47862133,2.5952826,0.47692066,0.4306292,,,,0.45124128
VIM → CD44,1.4204947,1.7985053,1.859116,2.5683222,1.4044394,2.070045,2.390576,2.205539,1.5558004,1.4559298,2.643635,2.524849,1.6809616,1.846935
LGALS1 → PTPRC,1.5944533,1.6091051,1.8811392,1.634119,1.7424701,2.4034567,1.997798,2.3495002,2.0844502,1.8494192,2.7209988,2.8293839,1.8923256,1.9347186
HLA-B → CD3D,2.6531358,2.7117815,2.8954787,2.749466,2.0789587,2.6395857,2.1152835,2.8006902,2.7599292,2.3766403,2.0128307,1.7995055,2.9499483,2.6665616
