source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,pair
CD4T,Treg,CD48,CD2,1.9613489,0.0,3.7549179,2.0800932032981176,2.0842032631349934,0.041935157,0.95226604,0.0023193498597563,0.0020022139129784,CD48 → CD2
Macrophage,Treg,HLA-DPB1,CD4,2.0142827,0.0,2.651738,1.9369244362721592,2.493362341809577,0.0355007,0.9437086,0.0044300937371544,0.0024110615355659,HLA-DPB1 → CD4
Mono,Treg,VCAN,CD44,2.0564919,0.0,3.531825,1.5038977619642355,1.9642046200114045,0.05145549,0.9508545,0.0259717129096111,0.0012573142526562,VCAN → CD44
Endothelial,Treg,CD59,CD2,2.0594988,0.0,4.199462,1.915968777438851,2.027665812866699,0.06969056,0.95474565,0.004897992465156,0.0012484796047255,CD59 → CD2
Macrophage,Treg,HLA-DPA1,CD4,2.1237297,0.0,2.833136,1.950138965952065,2.572709986970604,0.03564667,0.94544053,0.0042441300749706,0.0018760809162809,HLA-DPA1 → CD4
Macrophage,Treg,HLA-DRB1,CD4,2.1437461,0.0,2.8663116,1.8352701381036185,2.370487453489327,0.03497966,0.94574,0.0066834316069879,0.0017697033323806,HLA-DRB1 → CD4
Mono,Treg,S100A8,ITGB2,2.3205414,0.0,3.058122,2.1356960944447465,3.0621091092025035,0.06318306,0.9473782,0.0017701459525106,0.0012840039624631,S100A8 → ITGB2
Macrophage,Treg,HLA-DRA,CD4,2.4712489,0.0,3.4091175,1.8791612037299656,2.5878704069014944,0.03452247,0.9500216,0.0055676254101809,0.0006970460735989,HLA-DRA → CD4
Mono,Treg,S100A9,ITGB2,2.5952826,0.0,3.495048,2.070990639563368,3.1832092798755056,0.054502293,0.9506093,0.0024080334565981,0.0006045698381778,S100A9 → ITGB2
SmoothMuscle,Treg,VIM,CD44,2.643635,0.0,4.9661303,0.7413739206123682,0.7433807803474332,0.010578254,0.9582331,0.2391328596771788,7.849497927605445e-05,VIM → CD44
Stromal_Fib,Treg,LGALS1,PTPRC,2.8293839,0.0,7.974941,1.2107778750396938,1.9483501954820248,0.020942008,0.9667479,0.0585170900345213,7.310316855959786e-06,LGALS1 → PTPRC
Treg,Treg,HLA-B,CD3D,2.9499483,0.0,8.33105,2.00613174778026,2.0542097702845545,0.031192046,0.9674429,0.0033030598892734,2.277913110065944e-06,HLA-B → CD3D
