source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,pair
Treg,Mono,HLA-A,LILRB2,2.3000765,0.0,3.7672253,2.0383173567073958,1.6046242452009472,0.050208237,0.95234025,0.009935754000017,0.0003809686330736,HLA-A → LILRB2
Treg,Mono,HLA-B,LILRB2,2.3125463,0.0,3.793809,1.9701654369392343,1.590528971100205,0.047353305,0.9524996,0.010541874404339,0.0003664415244682,HLA-B → LILRB2
Treg,CD8T,HLA-A,CD8B,2.349125,0.0,4.1139216,2.1191704195345413,1.8338475794833335,0.07616326,0.954299,0.0038588279930208,0.0002483599406464,HLA-A → CD8B
Treg,CD8T,HLA-B,CD8B,2.3615947,0.0,4.142952,2.0510184997663807,1.819752305382592,0.07183248,0.95445204,0.0042178833720164,0.0002308977303213,HLA-B → CD8B
Treg,CD8T,HLA-C,CD8A,2.3696651,0.0,5.0868073,2.1091353504930264,1.906355453138436,0.06643679,0.95871097,0.0027366309168691,0.000215908301242,HLA-C → CD8A
Treg,CD8T,HLA-A,CD8A,2.5884538,0.0,5.805607,2.2617157246547976,2.1206448780499008,0.072880805,0.9612491,0.0010244967006592,5.223449603655844e-05,HLA-A → CD8A
Treg,CD8T,HLA-B,CD8A,2.6009235,0.0,5.846575,2.193563804886637,2.106549603949159,0.068736665,0.9613798,0.0013460153930154,4.866671793499079e-05,HLA-B → CD8A
Treg,Mono,HLA-A,APLP2,2.751828,0.0,6.960409,1.2809753659230774,1.4034249666404932,0.019301621,0.96449006,0.0585170900345213,1.6189433857186865e-05,HLA-A → APLP2
Treg,NK,HLA-B,KLRD1,2.9421387,0.0,8.275456,2.026135588175203,2.546240385635927,0.06349745,0.9673373,0.0030077419977056,2.882862926031107e-06,HLA-B → KLRD1
Treg,Treg,HLA-B,CD3D,2.9499483,0.0,8.33105,2.00613174778026,2.0542097702845545,0.031192046,0.9674429,0.0033030598892734,2.277913110065944e-06,HLA-B → CD3D
Treg,NK,B2M,KLRC1,3.305774,0.0,7.785985,1.8446950239622937,2.331091047489571,0.05835373,0.96636033,0.006439406267546,2.277913110065944e-06,B2M → KLRC1
Treg,NK,B2M,KLRD1,3.7017488,0.0,11.807813,2.14119541168519,2.583426122595351,0.05819968,0.97250974,0.0017024524239223,3.955982022669952e-09,B2M → KLRD1
