gsm,stage,dataset,burden,n
GSM6102532,0_normal,GSE179640,0.003497006294164929,1885
GSM6102533,0_normal,GSE179640,0.006489463195784837,2782
GSM6102534,0_normal,GSE179640,0.008047828318936473,1498
GSM6102537,0_normal,GSE179640,0.00973121830301348,174
GSM6102540,0_normal,GSE179640,0.0071747840150220565,996
GSM6102543,0_normal,GSE179640,0.00702669905224361,874
GSM6102546,0_normal,GSE179640,0.0073704215097914584,306
GSM6102549,0_normal,GSE179640,0.009625885181692972,432
GSM6102550,1_benign_lesion,GSE179640,0.008627183419633684,82
GSM6102551,0_normal,GSE179640,0.006242218222347425,881
GSM6102553,1_benign_lesion,GSE179640,0.00694418838100099,166
GSM6102554,0_normal,GSE179640,0.007358700729393349,206
GSM6102555,0_normal,GSE179640,0.01042209709607679,468
GSM6102560,0_normal,GSE179640,0.00960471189884013,2624
GSM6102563,1_benign_lesion,GSE179640,0.006602373970794436,3363
GSM6102565,1_benign_lesion,GSE179640,0.008338235623229261,10034
GSM6161373,0_normal,GSE203191,0.010897650764410132,71
GSM6161374,0_normal,GSE203191,0.0163682806224497,4169
GSM6161375,0_normal,GSE203191,0.012695148655086587,112
GSM6161376,0_normal,GSE203191,0.01312160081478344,405
GSM6161377,0_normal,GSE203191,0.013743008706251237,58
GSM6161379,0_normal,GSE203191,0.011200044220678742,171
GSM6161381,0_normal,GSE203191,0.01074494875501262,102
GSM6161382,0_normal,GSE203191,0.013780704828848515,256
GSM6161383,0_normal,GSE203191,0.013071654422994778,58
GSM6574510,1_benign_lesion,GSE213216,0.0022330751726617197,119
GSM6574511,1_benign_lesion,GSE213216,0.0015713895195114144,301
GSM6574512,0_normal,GSE213216,0.009820398397468602,931
GSM6574515,1_benign_lesion,GSE213216,0.01170739185704151,80
GSM6574516,1_benign_lesion,GSE213216,0.011445639208079358,52
GSM6574517,1_benign_lesion,GSE213216,0.010506370626587828,101
GSM6574518,0_normal,GSE213216,0.012183381532598918,258
GSM6574522,1_benign_lesion,GSE213216,0.01080980846090306,138
GSM6574523,1_benign_lesion,GSE213216,0.0077100598608697245,144
GSM6574524,1_benign_lesion,GSE213216,0.010477624725249724,292
GSM6574526,1_benign_lesion,GSE213216,0.010027942503116335,488
GSM6574527,1_benign_lesion,GSE213216,0.008493278960694229,170
GSM6574528,0_normal,GSE213216,0.006691327441402747,57
GSM6574529,0_normal,GSE213216,0.009117895118675676,69
