sample,sort,group,score
M1_Ctrl_1,M1,Control,0.5373303250856718
M1_Ctrl_5,M1,Control,0.424819908202436
M1_Ctrl_9,M1,Control,-0.13903268516400835
M1_Endo_11,M1,Endometriosis,-0.5537170579109437
M1_Endo_13,M1,Endometriosis,0.47864518790183574
M1_Endo_15,M1,Endometriosis,-0.3955096017576854
M1_Endo_17,M1,Endometriosis,-0.9673126878235533
M1_Endo_19,M1,Endometriosis,-0.4013283115225158
M2_Ctrl_10,M2,Control,0.43061591534527277
M2_Ctrl_2,M2,Control,0.7300852587797141
M2_Ctrl_6,M2,Control,0.6740151122428863
M2_Ctrl_8,M2,Control,-1.3508722297177798
M2_Endo_12,M2,Endometriosis,0.15073987374498932
M2_Endo_14,M2,Endometriosis,1.0160244783534214
M2_Endo_16,M2,Endometriosis,-0.40346158191054643
M2_Endo_18,M2,Endometriosis,-0.019435238186328935
M2_Endo_20,M2,Endometriosis,0.005667956418494528
M2_Endo_35,M2,Endometriosis,-0.21727462208136344
