names,scores,logfoldchanges,pvals,pvals_adj
LINC02167,32.17397,26.668306,4.0824590370060006e-227,1.553744237179884e-226
AC010542.3,15.371099,25.401318,2.557919655352634e-53,6.924133048177037e-53
AC108488.2,14.44556,25.288607,2.673725274273305e-47,7.088804753931649e-47
AC090796.1,11.346796,25.19062,7.693013365196794e-30,1.8812080546063377e-29
PAX3,6.647515,23.793968,2.980833015631574e-11,6.282492252630104e-11
AC064834.1,144.13393,14.7283945,0.0,0.0
AL365273.2,39.79943,14.491671,0.0,0.0
AP000311.1,87.35297,14.051401,0.0,0.0
LINC02428,112.24954,13.895264,0.0,0.0
CASP14,20.654398,13.798116,8.912490154007758e-95,2.7233633510745973e-94
FP671120.1,257.6284,13.740941,0.0,0.0
CDH9,71.58809,13.733842,0.0,0.0
AP003086.2,60.82414,13.720758,0.0,0.0
PANCR,15.213587,13.360028,2.873571252728255e-52,7.753706057480388e-52
XACT,145.99622,13.25543,0.0,0.0
AC104823.1,47.41422,13.231619,0.0,0.0
AL139023.1,46.497356,13.166427,0.0,0.0
AC027644.4,125.898796,13.0638075,0.0,0.0
AC010983.1,54.871567,12.986509,0.0,0.0
AL117329.1,57.658638,12.930147,0.0,0.0
LINC01804,27.515203,12.785149,1.1549567747336848e-166,4.0500977981101666e-166
FP236383.1,253.32475,12.755833,0.0,0.0
AC112178.1,12.269167,12.131788,1.3261021309229963e-34,3.325955149155434e-34
AC006978.2,79.63191,12.026128,0.0,0.0
AP000282.1,15.119485,11.910193,1.2048051393986255e-51,3.244086419845118e-51
AC093821.1,23.504606,11.872986,3.65947220055385e-122,1.1842653598066322e-121
AC093152.1,32.57493,11.818723,9.29144304361946e-233,3.5587070438143016e-232
AP002075.1,70.015144,11.815495,0.0,0.0
AC022973.2,24.211615,11.798727,1.678714575347985e-129,5.511723527910385e-129
LINC01518,34.85378,11.743846,3.732037886702216e-266,1.4844703501389607e-265
AL021937.3,11.434602,11.704491,2.808231974843795e-30,6.888204187817698e-30
AC068234.1,56.556515,11.6267,0.0,0.0
AL138752.2,62.24891,11.577959,0.0,0.0
AC025576.2,8.055559,11.57106,7.911606534006294e-16,1.7496423346753977e-15
AL133467.2,10.21859,11.551315,1.6370541640343818e-24,3.87295381060209e-24
LINC02471,22.687502,11.507149,5.952485724851482e-114,1.9002908481606946e-113
AC090568.2,55.060047,11.444127,0.0,0.0
AC022387.1,8.423728,11.426305,3.6469068955822875e-17,8.17281328273089e-17
AC026316.5,7.850037,11.395392,4.15913867733229e-15,9.145831047853343e-15
LINC00355,27.128685,11.352738,4.518803249360209e-162,1.573773557655466e-161
AL078581.3,11.98884,11.344478,4.0655793137829355e-33,1.012879078174387e-32
MIR4713HG,83.23226,11.320657,0.0,0.0
GPR75-ASB3,48.64281,11.310749,0.0,0.0
AP000943.3,30.736256,11.301137,1.8665484502055582e-207,6.943710724939549e-207
AL136234.1,49.407825,11.293579,0.0,0.0
COL19A1,154.30466,11.190394,0.0,0.0
AC004870.3,38.859062,11.184882,0.0,0.0
AC109454.3,34.921753,11.160924,3.47660027830605e-267,1.3837984393904521e-266
C1QTNF3-AMACR,102.90901,11.127519,0.0,0.0
AC009690.1,61.376057,11.104762,0.0,0.0
AC022784.6,37.116753,11.093331,1.5081278798753638e-301,6.2173692995559816e-301
AC114316.2,17.765333,11.053242,1.3115888335387933e-70,3.759947408445837e-70
AC084337.2,19.827599,10.958559,1.720585456265644e-87,5.155645715223183e-87
AP001610.1,9.622195,10.951471,6.44409119491785e-22,1.5006230816648854e-21
GRIK3,45.87155,10.925519,0.0,0.0
AL365255.1,14.330681,10.92192,1.4073440206865758e-46,3.7199130800997655e-46
AL357507.1,254.62737,10.891438,0.0,0.0
AC004076.1,33.98117,10.826213,4.227193292361463e-253,1.6619493798886167e-252
AC005208.1,39.64703,10.744597,0.0,0.0
LINC02267,78.60974,10.714526,0.0,0.0
AC019068.1,15.671408,10.696888,2.3726642388836084e-55,6.474889102137784e-55
AC073896.1,15.290076,10.682491,8.904534651008235e-53,2.4066530134017317e-52
AC008537.1,29.225769,10.617838,9.126750684154288e-188,3.307719043974916e-187
AL353593.3,24.4776,10.544023,2.5588230003111054e-132,8.456859899181527e-132
AC099792.1,7.3210115,10.490209,2.4610823985091944e-13,5.319555206263835e-13
LINC01192,7.0950804,10.486036,1.2927653747771915e-12,2.770948792710348e-12
NR1H4,91.759926,10.483814,0.0,0.0
AC025283.3,37.786854,10.4456415,0.0,0.0
AL139393.1,67.98679,10.405573,0.0,0.0
AC097347.1,19.237207,10.3915615,1.8068155121273804e-82,5.343006416294967e-82
MARCOL,24.292006,10.340968,2.3813746217873142e-130,7.83881312912489e-130
AL355303.1,7.1880326,10.316863,6.573148411003032e-13,1.4131120601115285e-12
CASR,39.972347,10.280305,0.0,0.0
LINC01845,11.038543,10.233349,2.490383137769894e-28,6.03834584599269e-28
SLC17A1,8.414293,10.204552,3.9527042203187856e-17,8.853409862410022e-17
AL132671.2,9.406298,10.19585,5.139219968871445e-21,1.1898170574737262e-20
C6orf10,9.965647,10.170938,2.154665878105953e-23,5.063044750574425e-23
PTPN5,31.372293,10.152878,4.8318503226018054e-216,1.8169430794146354e-215
AC007326.4,42.33688,10.104568,0.0,0.0
AL110118.2,11.00473,10.099957,3.6260083752517935e-28,8.779602108985362e-28
OPN5,33.518635,10.090621,2.579881251147088e-246,1.0049319792424946e-245
SLC36A2,20.029396,10.07631,3.053394541118048e-89,9.198810528383592e-89
SOD2-1,24.471752,10.071406,2.953279830478497e-132,9.758347699902653e-132
TIMD4,44.810654,10.051238,0.0,0.0
CHURC1-FNTB,40.012318,9.998746,0.0,0.0
RDH8,15.015544,9.998202,5.808343231681356e-51,1.5599852262987761e-50
LINC02405,14.995402,9.982314,7.868393655014111e-51,2.11211403174772e-50
LINC01606,78.09583,9.946217,0.0,0.0
NKX2-1,10.55975,9.942478,4.578810099869625e-26,1.0938618416725995e-25
FP700111.1,62.508858,9.928049,0.0,0.0
AC011483.1,30.06607,9.91139,1.3461953509468144e-198,4.948730077612278e-198
AC105402.3,44.02634,9.904589,0.0,0.0
LINC01317,12.5274105,9.812693,5.2860505635926356e-36,1.334733417211548e-35
AL356277.3,116.45195,9.798784,0.0,0.0
AL139158.2,10.238573,9.797268,1.3318602293695526e-24,3.1524392892980833e-24
AL049650.1,10.783682,9.777307,4.110961068988887e-27,9.890555676001452e-27
RNASE10,8.71885,9.764415,2.810415122167799e-18,6.3599937587259645e-18
PKHD1,213.98395,9.745594,0.0,0.0
AL023755.1,61.63345,9.7274885,0.0,0.0
KCNQ2,110.50124,9.7240305,0.0,0.0
SLC5A4-AS1,69.61231,9.712673,0.0,0.0
AL845331.2,9.619812,9.711669,6.595144406957782e-22,1.5356774510129576e-21
AC012435.2,15.770516,9.64989,4.96420279715918e-56,1.3574674377267395e-55
AP000924.1,8.176811,9.635171,2.914534281165954e-16,6.473576331164394e-16
SLC1A6,30.118784,9.634141,2.7505479090473864e-199,1.0121330810488388e-198
AC005064.1,13.241155,9.6209545,5.076201818075153e-40,1.304841919287598e-39
OPCML,23.444128,9.619632,1.5174240982960972e-121,4.905258196243432e-121
AC068722.1,15.601472,9.617379,7.113541244742019e-55,1.9382069842889076e-54
AC090541.1,19.42575,9.6111555,4.675029564380541e-84,1.3881711718065093e-83
AC015660.3,26.008394,9.598249,3.979737420565636e-149,1.3586317460035056e-148
AL359710.1,45.6409,9.56515,0.0,0.0
DSCAM-AS1,11.620185,9.5590105,3.254309795887603e-31,8.026373362779663e-31
LINC01748,33.677044,9.531925,1.2536143981510433e-248,4.90126217097846e-248
AC019211.1,24.286448,9.523642,2.7261985330650774e-130,8.971875925711772e-130
APELA,24.471886,9.503127,2.943704800429118e-132,9.7277979808272e-132
SNAP25-AS1,79.199776,9.48826,0.0,0.0
AC011477.4,19.754904,9.466987,7.2794246743162465e-87,2.1774859261807006e-86
LINC02163,10.990143,9.452318,4.262506625217342e-28,1.0314825915157592e-27
