bin,n,frac_mal,CI,CI_mix_expected,excess_CI
0,4706,0.0,0.004025931021343594,0.005838637212369639,-0.0018127061910260447
1,4705,0.0,0.004526544500827319,0.005838637212369639,-0.0013120927115423198
2,4706,0.0,0.004961647376951577,0.005838637212369639,-0.0008769898354180619
3,4705,0.0004250797024442083,0.005348401261355212,0.0058591035085906115,-0.0005107022472353997
4,4705,0.0008501594048884166,0.0052432448509757805,0.005879569804811584,-0.0006363249538358035
5,4706,0.0006374840628984276,0.005394195957733299,0.005869330133232264,-0.00047513417549896464
6,4705,0.0017003188097768332,0.006013951921157981,0.005920502397253528,9.34495239044526e-05
7,4705,0.004463336875664187,0.006079369493821157,0.006053533322689849,2.5836171131308344e-05
8,4706,0.009137271568210795,0.0063953482799783655,0.0062785690780672605,0.00011677920191110504
9,4705,0.023804463336875664,0.006609099447627828,0.006984749800744089,-0.000375650353116261
10,4705,0.03294367693942614,0.006945197854766237,0.007424775169494994,-0.0004795773147287571
11,4706,0.07054823629409265,0.0072383793152864225,0.008679996696623987,-0.001441617381337564
12,4705,0.10903294367693943,0.007731342013068399,0.009443887371707847,-0.0017125453586394473
13,4705,0.15834218916046758,0.009336657035374795,0.010164796918504145,-0.0008281398831293495
14,4706,0.2552061198470038,0.010300518423223897,0.010971617745127516,-0.0006710993219036197
15,4705,0.41891604675876726,0.011394808797654771,0.011564538690929183,-0.00016972989327441144
16,4705,0.6282678002125398,0.010857049851554038,0.011231003882276498,-0.0003739540307224603
17,4706,0.7637059073523161,0.010300858988839081,0.010540668909954877,-0.0002398099211157953
18,4705,0.8603613177470776,0.008716587516486251,0.009708852626375244,-0.0009922651098889929
19,4706,0.912027199320017,0.007935614320572859,0.009140412041027475,-0.0012047977204546166
