gsm,cond,n_immune,Treg_pct,dataset
GSM6574509,Endometriosis,989,0.3033367037411527,GSE213216
GSM6574510,Endometriosis,1614,3.5315985130111525,GSE213216
GSM6574511,Endometriosis,5882,0.6800408024481469,GSE213216
GSM6574512,Endometriosis,3524,1.04994324631101,GSE213216
GSM6574514,Endometriosis,1429,0.4198740377886634,GSE213216
GSM6574515,Endometriosis,4161,0.8651766402307137,GSE213216
GSM6574516,Endometriosis,7648,1.3336820083682008,GSE213216
GSM6574517,Endometriosis,8806,1.8623665682489212,GSE213216
GSM6574518,Control,3094,0.9372979961215255,GSE213216
GSM6574519,Endometriosis,1147,0.6102877070619006,GSE213216
GSM6574520,Endometriosis,768,0.6510416666666667,GSE213216
GSM6574521,Control,1057,0.9460737937559129,GSE213216
GSM6574522,Endometriosis,3254,0.30731407498463426,GSE213216
GSM6574523,Endometriosis,2118,0.424929178470255,GSE213216
GSM6574524,Endometriosis,3345,0.6278026905829596,GSE213216
GSM6574525,Endometriosis,4537,1.0138858276394092,GSE213216
GSM6574526,Endometriosis,5658,0.49487451396253096,GSE213216
GSM6574527,Endometriosis,5857,0.39269250469523653,GSE213216
GSM6574528,Endometriosis,2850,0.3508771929824561,GSE213216
GSM6574529,Control,1729,0.3470213996529786,GSE213216
GSM6574530,Endometriosis,630,0.4761904761904762,GSE213216
GSM6574531,Control,3148,0.3811944091486658,GSE213216
GSM6574532,Endometriosis,692,0.4335260115606936,GSE213216
GSM6574533,Endometriosis,6817,2.845826609945724,GSE213216
GSM6574534,Endometriosis,1334,0.07496251874062969,GSE213216
GSM6574535,Endometriosis,4527,0.7731389441130992,GSE213216
GSM6574536,Endometriosis,2090,0.4784688995215311,GSE213216
GSM6574537,Endometriosis,2743,0.6197593875318994,GSE213216
GSM6574538,Endometriosis,124,0.0,GSE213216
GSM6574541,Endometriosis,407,0.0,GSE213216
GSM6574542,Endometriosis,3578,1.2576858580212409,GSE213216
GSM6574543,Endometriosis,1153,1.1274934952298352,GSE213216
GSM6574544,Endometriosis,1003,0.19940179461615154,GSE213216
GSM6574545,Endometriosis,747,0.13386880856760375,GSE213216
GSM6574546,Endometriosis,1548,1.8733850129198968,GSE213216
GSM6574547,Endometriosis,3339,0.23959269242288112,GSE213216
GSM6574548,Endometriosis,641,0.0,GSE213216
GSM6574549,Endometriosis,287,0.0,GSE213216
GSM6574552,Endometriosis,310,0.0,GSE213216
GSM6574553,Endometriosis,608,0.1644736842105263,GSE213216
