source,ligand_complex,receptor_complex,lr_means,cellphone_pvals,magnitude_rank
NK,CCL5,CXCR3,1.4100466,0.0,0.2230352793732524
NK,CCL5,SDC4,1.416202,0.0,0.1977020795976102
NK,LGALS9,PTPRC,1.4231853,0.0,0.1879881388450182
B,LGALS9,PTPRC,1.4332608,0.0,0.1546777781660968
Mast,LGALS9,PTPRC,1.445462,0.0,0.1252918625984871
Endothelial,LGALS9,PTPRC,1.4560488,0.0,0.1050653375092788
pDC,LGALS9,PTPRC,1.4731032,0.0,0.0803788167234735
NK,CCL5,CCR4,1.4948994,0.0,0.0553429944389077
Mono,LGALS9,PTPRC,1.7128648,0.0,0.0068268891948571
Macrophage,LGALS9,PTPRC,1.7830312,0.0,0.0049804128043314
CD8T,CCL5,CCR5,1.8257487,0.0,0.1407325332522115
CD8T,CCL5,CXCR3,1.8283607,0.0,0.1323473689951109
CD8T,CCL5,SDC4,1.834516,0.0,0.115644589512616
CD8T,CCL5,CCR4,1.9132135,0.0,0.0277511585790977
