dataset,gsm,n_cells
GSE179640,GSM6102532,2575
GSE179640,GSM6102533,6478
GSE179640,GSM6102534,4723
GSE179640,GSM6102537,4776
GSE179640,GSM6102540,3879
GSE179640,GSM6102543,3809
GSE179640,GSM6102546,3006
GSE179640,GSM6102549,2438
GSE179640,GSM6102550,2018
GSE179640,GSM6102551,3846
GSE179640,GSM6102552,2150
GSE179640,GSM6102553,3673
GSE179640,GSM6102554,2636
GSE179640,GSM6102555,1882
GSE179640,GSM6102556,4560
GSE179640,GSM6102560,3466
GSE179640,GSM6102562,6550
GSE179640,GSM6102563,4718
GSE179640,GSM6102565,10381
GSE179640,GSM6595248,2578
GSE179640,GSM6595249,2731
GSE179640,GSM6595250,4287
GSE179640,GSM6595251,2422
GSE179640,GSM6595252,5434
GSE179640,GSM6595253,2878
GSE179640,GSM6595254,2775
GSE179640,GSM6595255,2079
GSE179640,GSM6595256,2996
GSE179640,GSM6595257,3576
GSE179640,GSM6595258,1619
GSE179640,GSM6595259,401
GSE179640,GSM6595260,792
GSE179640,GSM6595261,12085
GSE203191,GSM6161373,5283
GSE203191,GSM6161374,15614
GSE203191,GSM6161375,6060
GSE203191,GSM6161376,4181
GSE203191,GSM6161377,2129
GSE203191,GSM6161378,5691
GSE203191,GSM6161379,2670
GSE203191,GSM6161380,2149
GSE203191,GSM6161381,14165
GSE203191,GSM6161382,7758
GSE203191,GSM6161383,7155
GSE214411,GSM6605431,10412
GSE214411,GSM6605432,10865
GSE214411,GSM6605433,7842
GSE214411,GSM6605434,9902
GSE214411,GSM6605435,16955
GSE214411,GSM6605436,9392
GSE214411,GSM6605437,9429
GSE214411,GSM6605438,10679
GSE214411,GSM6605439,16998
GSE214411,GSM6605440,8290
GSE214411,GSM7277296,8159
GSE214411,GSM7277297,6845
GSE214411,GSM7277298,8046
GSE224333,GSM7019822,3017
GSE224333,GSM7019823,3116
GSE224333,GSM7019824,2566
GSE291389,GSM8834326,281
GSE291389,GSM8834327,2131
GSE291389,GSM8834328,2513
