bin,n,pt,cnv,frac_mal,CI
0,1154,0.008491027,0.008124928334106728,0.0,0.0068483044255032806
1,1154,0.021127637,0.009516927437676194,0.0008665511265164644,0.00600728726336747
2,1154,0.038606953,0.009102901273911274,0.0,0.006889020206290857
3,1154,0.05334792,0.008045038454891146,0.0,0.00937467415044132
4,1154,0.0638487,0.007048115326288556,0.019064124783362217,0.011787642173504585
5,1153,0.083571084,0.010487774997861852,0.2610581092801388,0.016828199794589233
6,1154,0.13507548,0.01789840631073733,0.8700173310225303,0.014803496843693567
7,1154,0.14909278,0.01963310341614532,0.9774696707105719,0.008439629900100649
8,1154,0.15417321,0.020090155690112188,0.9878682842287695,0.006311423469585405
9,1154,0.15784284,0.02002432594782448,0.9844020797227037,0.007406981504574368
10,1153,0.1607698,0.020257284522631286,0.9861231569817867,0.0074909778805550675
11,1154,0.16337277,0.020441135753531972,0.9904679376083189,0.0062661645754993065
12,1154,0.16588962,0.020441682844172967,0.9930675909878682,0.0066016971094673554
13,1154,0.16840446,0.020477479575993964,0.988734835355286,0.007569689060398348
14,1154,0.17124562,0.020413293541828137,0.9878682842287695,0.006806798124377138
15,1153,0.17468092,0.020406130259232977,0.98438855160451,0.00688345152758444
16,1154,0.18250817,0.019719921247926125,0.8908145580589255,0.013580559076634939
17,1154,0.26975608,0.014619480122051047,0.28596187175043325,0.02366028340273624
18,1154,0.64222074,0.01609407683994161,0.7920277296360485,0.018026029204367425
19,1154,0.867532,0.01904485241557105,1.0,0.003066774111684118
