dataset,gsm,PAEP,GPX3,SPP1,CXCL14,DPP4,MAOA,SCGB2A1,DEFB1,GLUL,MT1G,MKI67,TOP2A,PCNA,CCNB1,SFRP1,HMGB2,TYMS,RRM2,MCM2,CDK1,phase_score,reported_phase,condition
GSE179640,GSM6102532,3.1910167,6.180019,2.6216805,0.73077196,0.6364705,3.2569168,7.230469,4.5592833,5.604426,3.3067214,0.39470944,0.53894997,4.140283,1.455804,0.5339398,3.263969,0.816168,0.3814063,0.71152115,0.916562,0.73771214,,Control
GSE179640,GSM6102533,3.6299393,5.720905,3.715024,0.65412784,1.0765053,1.9219373,5.719374,5.3953943,5.192561,0.860182,0.051566105,0.074531026,2.11935,0.5797753,0.20433256,4.066953,0.30871567,0.108214185,0.3228334,0.19354548,1.6456816,,Control
GSE179640,GSM6102534,0.103464246,2.2903302,0.809062,0.27073345,0.16485474,0.53401333,3.5863087,1.9707878,6.4242406,0.20358437,0.052226618,0.10407694,2.4880016,0.5698131,2.0059328,2.7146363,0.28974286,0.065705284,0.29122415,0.35024908,0.4757268,,Control
GSE179640,GSM6102537,3.4334662,0.49953845,0.630119,0.4055843,0.75373465,0.21364118,0.72884285,0.40414545,4.004235,0.5394737,0.14192687,0.189213,1.9935249,0.30348194,4.774618,1.6402826,0.22390439,0.11185263,0.30840486,1.644342,-0.042224705,,Endometriosis
GSE179640,GSM6102540,0.90342677,0.738072,6.365479,0.5271895,0.2294795,1.2355385,4.428497,1.4586691,5.587975,0.3001836,1.1968772,1.2612084,3.658459,1.5853174,4.748879,4.499169,1.8683382,1.0288795,1.0077329,1.4012421,-1.6644912,,Endometriosis
GSE179640,GSM6102543,2.544643,2.662877,0.91087556,3.112066,0.41934898,2.0370731,4.060571,1.9574987,5.6641207,0.5280708,0.10746764,0.14596213,3.0531666,0.5233415,3.4760208,3.012831,0.42081743,0.1175352,0.23169947,0.21486753,0.82134235,,Endometriosis
GSE179640,GSM6102546,2.5905848,2.7519176,3.1055079,1.8851281,0.8203621,2.7985353,2.702728,3.1235216,5.8376994,0.30512792,0.2752858,0.3103431,2.610496,0.5832826,1.0137852,3.6186123,0.6120807,0.3659358,0.3547823,0.36221826,0.8361044,,Endometriosis
GSE179640,GSM6102549,5.0078154,3.4649189,2.522023,2.293197,0.8883949,3.2467585,4.829036,3.2280054,4.5405097,0.16856061,0.3974274,0.40984216,2.3981147,0.6141517,2.8744648,3.1416097,0.46790916,0.3722536,0.2979631,0.47761515,0.99063826,,Endometriosis
GSE179640,GSM6102550,0.41719186,1.9183166,0.24201377,0.5131813,1.5362507,1.6284976,1.2037731,0.7346519,5.026263,0.5393921,0.12788844,0.14859022,1.9181834,0.49099806,2.8890831,3.001948,0.34008253,0.090879165,0.2844692,0.12269721,0.4594884,,Endometriosis
GSE179640,GSM6102551,0.10767882,0.2064272,0.15372819,1.4493033,0.17676342,0.41351888,2.5254164,0.8270426,4.2543383,0.24191552,1.3621415,1.5333003,3.1338844,1.3938296,5.996383,4.320271,1.781155,1.0093912,0.7827931,1.3317153,-2.3126493,,Endometriosis
GSE179640,GSM6102552,0.36067188,0.6148361,0.14212905,0.7227844,0.32823953,0.36578125,0.13953027,0.087909885,7.0442376,0.023403866,0.03718419,0.058732357,1.835039,0.32317105,5.254265,4.8816614,0.11675459,0.044553697,0.21398877,0.323052,-0.056064874,,Endometriosis
GSE179640,GSM6102553,1.3489728,0.69792175,1.0842842,1.4864869,0.46091735,0.65478235,0.5863853,0.50600374,7.283005,0.06414945,0.09085876,0.166864,2.0437102,0.37590215,3.937874,5.1756997,0.5140528,0.11456612,0.34105402,0.6296646,-0.01665102,,Endometriosis
GSE179640,GSM6102554,1.0946748,0.840246,0.42670554,1.8803989,0.45941997,1.2962184,1.2675729,0.81367534,5.6772556,0.17578523,0.18047714,0.2677484,2.9148932,0.66540104,5.5109854,4.917636,0.40484756,0.18628876,0.4693307,0.45353985,-0.3704713,,Endometriosis
GSE179640,GSM6102555,3.3735778,3.1426558,2.3651714,0.3842754,0.2876142,3.81702,6.979744,2.8807087,4.4424577,0.77994037,0.3648237,0.39807552,2.5379145,0.5075116,0.55198145,2.5833268,0.42919064,0.29837894,0.25602144,0.22765301,1.1230924,,Endometriosis
GSE179640,GSM6102556,0.116617605,0.8703995,0.21365173,0.9798774,0.7638235,0.7732145,0.044786483,0.030084722,6.8906198,0.09572723,0.099347204,0.13819882,1.8469512,0.50919765,4.235966,3.6804583,0.35032615,0.08849366,0.1972581,0.23271973,0.1285825,,Endometriosis
GSE179640,GSM6102560,5.3156614,5.0243287,4.6366005,3.4920557,0.8233911,4.737217,7.5621986,6.533783,5.261665,2.1422102,0.13077164,0.12338672,2.6566598,0.59935296,0.35946998,2.939871,0.32282946,0.12153343,0.2350603,0.20641935,2.4968433,,Endometriosis
GSE179640,GSM6102562,0.004446693,2.4908295,0.04084744,0.025873637,0.7525472,2.6561794,0.0,0.0064142514,6.765044,0.1470798,0.05343712,0.18489447,1.2817839,0.78403056,5.191026,4.4226217,0.18730704,0.03765087,0.17556827,0.110242,0.24371135,,Endometriosis
GSE179640,GSM6595248,2.1648252,0.45916584,0.8140728,0.26474366,1.8121133,0.43139514,0.21759762,0.24445029,3.5666296,0.2065675,0.3867372,0.40498447,2.2531455,0.5873071,0.28684658,2.135195,0.6612393,0.3469742,0.32524145,0.5076563,-0.0008927882,,Endometriosis
GSE179640,GSM6595249,2.14474,1.1337408,2.8444064,0.970404,2.1351633,0.55482846,0.677848,0.7524794,5.4335513,0.7678484,0.53086424,0.64339226,3.0665221,0.83492154,2.3173485,2.9648082,0.9014999,0.40105602,0.5897912,0.87628156,-0.2017885,,Endometriosis
GSE179640,GSM6595250,0.17073609,0.84154063,0.09802783,0.57548296,0.33860457,1.4255652,2.8178663,1.2408415,4.988875,0.25764537,0.6737522,0.7605611,3.2676473,1.0236516,4.7174993,3.6992128,1.163159,0.4463256,0.40398702,0.6653067,-0.94315296,,Endometriosis
