source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Treg,NK,B2M,KLRD1,3.7017488,0.0,11.807813,2.14119541168519,2.583426122595351,0.05819968,0.97250974,0.001702452423922316,3.955982022669952e-09
CD8T,NK,B2M,KLRD1,3.613398,0.0,11.396962,2.0484043535897682,2.479808247175292,0.056174632,0.97203237,0.002704945387311696,1.582370691465567e-08
CD4T,NK,B2M,KLRD1,3.4969637,0.0,10.855516,1.9261146528863446,2.3059170027534357,0.053505898,0.9713631,0.004688727533030992,3.5602842911920946e-08
NK,NK,B2M,KLRD1,3.4334118,0.0,10.559986,1.8593722464914881,2.2903096760021775,0.052049257,0.9709767,0.006026942291691031,6.329305825042957e-08
Endothelial,NK,B2M,KLRD1,3.3788068,0.0,10.306061,1.8020186328743129,2.163702370383292,0.05079768,0.9706318,0.007739011267045104,9.889402116614534e-08
Mono,NK,B2M,KLRD1,3.3581913,0.0,10.210194,1.7803696945593346,2.091650604582056,0.050325155,0.97049826,0.008515346201891132,1.4240539989503203e-07
Macrophage,NK,B2M,KLRD1,3.3544056,0.0,10.19259,1.7763941669342063,2.1192632073438373,0.05023839,0.9704736,0.008663765096356434,1.9382688189095256e-07
pDC,NK,B2M,KLRD1,3.3435316,0.0,10.142023,1.7649723152131567,2.078690767235429,0.049989153,0.97040224,0.009250666889493692,2.5315807773617337e-07
B,NK,B2M,KLRD1,3.2821636,0.0,9.856648,1.7005187985353407,1.9733003877580784,0.04858256,0.9699896,0.012067467232256435,3.9554843766156403e-07
Mono,Mono,S100A9,ITGB2,3.2618432,0.0,9.354656,2.900858490074426,4.191079859212236,0.14587788,0.9692193,0.000174920693206414,4.786069491927847e-07
Plasma,NK,B2M,KLRD1,3.1909788,0.0,9.432618,1.6047516992813815,1.922393153211636,0.046492558,0.9693429,0.017552463905607878,6.68448789901091e-07
Mast,NK,B2M,KLRD1,3.1241374,0.0,9.121792,1.5345505962304111,1.8251290177657558,0.044960517,0.9688411,0.02308036803878161,8.899218201560335e-07
Mono,Macrophage,S100A9,ITGB2,3.1339583,0.0,8.230445,2.7416414059818273,3.9980517396430093,0.12834676,0.96725106,0.00022702701691810196,1.143023078405459e-06
Mono,Mono,S100A8,ITGB2,2.987102,0.0,8.185204,2.9655639449558047,4.069979688539234,0.16911235,0.9671636,0.00010318267888142558,1.4277502618823818e-06
Treg,Treg,HLA-B,CD3D,2.9499483,0.0,8.33105,2.0061317477802594,2.0542097702845545,0.031192046,0.9674429,0.0033030598892734783,2.277913110065944e-06
Treg,NK,B2M,KLRC1,3.305774,0.0,7.785985,1.8446950239622937,2.331091047489571,0.05835373,0.96636033,0.0064394062675460694,2.277913110065944e-06
Mono,Macrophage,S100A9,CD68,3.080322,0.0,7.7589393,3.07634079055366,4.328663324831851,0.20708244,0.9663037,3.530494287518513e-05,2.4716595599065433e-06
Treg,CD8T,HLA-B,CD3D,2.9431238,0.0,8.28247,1.996912994248072,2.2074622252721747,0.031010156,0.9673507,0.0034320961812467853,2.6733092359182464e-06
Treg,NK,HLA-B,KLRD1,2.9421387,0.0,8.275456,2.026135588175203,2.546240385635927,0.06349745,0.9673373,0.0030077419977056754,2.882862926031107e-06
CD8T,Treg,HLA-B,CD3D,2.8954787,0.0,8.076052,1.9604983965500384,1.9867145689396062,0.030237317,0.9669498,0.004074955541274352,3.3256787382310426e-06
CD8T,NK,B2M,KLRC1,3.2174232,0.0,7.515073,1.7519039658668718,2.2274731720695122,0.056323323,0.9657799,0.009678517135721295,3.5589408114908537e-06
Stromal_Fib,CD8T,LGALS1,PTPRC,2.8931026,0.0,8.357758,1.2668784366798238,2.118536239411739,0.021947276,0.9674933,0.05851709003452131,3.8001043423968274e-06
