names,scores,logfoldchanges,pvals,pvals_adj
MECOM,280.6807,4.721194,0.0,0.0
FNDC3B,277.0174,3.961362,0.0,0.0
SSH2,276.7908,5.2769036,0.0,0.0
UBE2D2,275.16626,4.0437074,0.0,0.0
PARD3,273.4316,4.879187,0.0,0.0
SPIDR,270.1362,5.495648,0.0,0.0
PTK2,269.56573,4.416006,0.0,0.0
PAX8,268.8194,3.62257,0.0,0.0
SYNE2,266.00604,3.9732795,0.0,0.0
STK3,265.72903,4.99809,0.0,0.0
ATP11A,263.40646,4.2821994,0.0,0.0
CDKAL1,259.85025,5.5969405,0.0,0.0
PATJ,259.6437,4.460294,0.0,0.0
FTX,259.5462,4.3968973,0.0,0.0
NCOA2,256.88702,4.9895387,0.0,0.0
RHEX,256.8094,5.6518393,0.0,0.0
LAMC1,256.31006,3.8266342,0.0,0.0
LPP,255.7372,3.2463267,0.0,0.0
USP34,253.89319,3.6520624,0.0,0.0
AGAP1,253.37656,5.029025,0.0,0.0
KAZN,253.32904,5.2462654,0.0,0.0
IGF2BP2,252.87265,4.0477014,0.0,0.0
VPS13B,252.5301,5.3843446,0.0,0.0
GPHN,252.50258,5.7758017,0.0,0.0
NPAS2,252.3212,6.194538,0.0,0.0
MAGI1,252.17358,4.4116545,0.0,0.0
FAM155A,251.24533,6.6752143,0.0,0.0
NCOA3,250.82074,4.2646646,0.0,0.0
EXT1,250.29475,5.253686,0.0,0.0
TBC1D5,250.12347,4.3333445,0.0,0.0
PTPRK,249.58011,4.2649918,0.0,0.0
IMMP2L,249.53267,4.8866935,0.0,0.0
GDA,249.17245,4.0891266,0.0,0.0
RERE,249.16147,3.5344417,0.0,0.0
RBPMS,248.14908,4.0059085,0.0,0.0
FAM49B,247.22217,4.346662,0.0,0.0
BICC1,246.60919,6.3312635,0.0,0.0
DIP2B,245.81566,5.293381,0.0,0.0
TRAPPC9,244.201,5.573346,0.0,0.0
DOCK1,243.57364,4.697264,0.0,0.0
GLIS3,243.47362,4.609781,0.0,0.0
CAMKMT,243.35724,5.607518,0.0,0.0
WWOX,243.30568,5.4821544,0.0,0.0
SRPK2,243.29848,3.5029602,0.0,0.0
BCAS3,242.65239,5.6379495,0.0,0.0
NPEPPS,242.03224,3.2077968,0.0,0.0
NF1,241.89194,3.6604629,0.0,0.0
TRIO,240.64984,4.5553026,0.0,0.0
EXOC4,240.5748,4.251101,0.0,0.0
PTPRM,239.85297,5.4853115,0.0,0.0
ITCH,239.55995,4.092367,0.0,0.0
GRIP1,239.1831,6.698398,0.0,0.0
LRBA,238.11855,3.8347964,0.0,0.0
SMYD3,237.29976,4.7071176,0.0,0.0
NT5C2,236.84843,4.3497972,0.0,0.0
MACROD2,236.18405,6.4191318,0.0,0.0
MYO1E,235.6956,4.3381047,0.0,0.0
TAOK3,235.2186,4.2888637,0.0,0.0
PUM1,234.90656,2.9571073,0.0,0.0
WWTR1,234.5777,3.7415588,0.0,0.0
MKL1,234.23473,6.318127,0.0,0.0
BIRC6,234.07773,3.3154552,0.0,0.0
PVT1,233.48885,6.019431,0.0,0.0
JMJD1C,231.4852,2.9113073,0.0,0.0
NFAT5,230.84312,3.2844405,0.0,0.0
KMT2C,229.66252,2.692807,0.0,0.0
PDE4D,229.17245,5.6268806,0.0,0.0
TCF12,229.00525,3.722621,0.0,0.0
UBR5,228.88394,3.473591,0.0,0.0
DAPK1,228.87592,5.162181,0.0,0.0
KDM2A,228.86082,3.270014,0.0,0.0
STAG1,228.54515,4.0144854,0.0,0.0
FOXO1,227.83606,3.4301412,0.0,0.0
ERBIN,227.26036,3.7435741,0.0,0.0
EFNA5,226.90915,5.7384763,0.0,0.0
CBFA2T2,226.84761,4.5516605,0.0,0.0
PTPN14,226.19215,3.6278934,0.0,0.0
OPHN1,225.87517,6.1216745,0.0,0.0
COP1,225.75029,4.8960524,0.0,0.0
ATXN2,225.56726,3.2172437,0.0,0.0
ERBB4,225.4682,5.738845,0.0,0.0
CARMIL1,225.36232,4.736206,0.0,0.0
TTC28,224.88197,4.819837,0.0,0.0
FAF1,224.60883,4.162344,0.0,0.0
ARID1B,224.28358,3.050308,0.0,0.0
CCSER1,223.58401,6.9879055,0.0,0.0
FNBP1,223.16423,3.8467224,0.0,0.0
CPNE8,222.71553,6.5906663,0.0,0.0
SIK3,222.46753,4.239559,0.0,0.0
FOXP1,222.27403,3.2034104,0.0,0.0
RNF213,222.20016,3.1357675,0.0,0.0
STRN3,222.02965,3.809209,0.0,0.0
MBD5,221.85083,4.535588,0.0,0.0
BTBD9,221.33842,5.2915616,0.0,0.0
ANXA4,221.0027,2.8323956,0.0,0.0
FGD4,220.7674,3.8038704,0.0,0.0
TBL1XR1,220.67345,2.734489,0.0,0.0
RBM47,220.49101,2.8836474,0.0,0.0
TBC1D22A,220.35858,4.5691876,0.0,0.0
BABAM2,220.28723,4.5720296,0.0,0.0
MAML2,220.18977,4.0613728,0.0,0.0
RAI14,220.07478,3.9184883,0.0,0.0
MTHFD1L,219.96642,4.132064,0.0,0.0
SLC8A1,219.91315,7.858806,0.0,0.0
ASH1L,218.56052,2.7461898,0.0,0.0
GTF2IRD1,218.40546,5.196487,0.0,0.0
WWC1,218.11531,3.363364,0.0,0.0
RIMKLB,217.79138,3.7820034,0.0,0.0
DENND5B,217.37868,6.387114,0.0,0.0
HECTD4,216.39752,4.023194,0.0,0.0
MACF1,216.30835,2.4412756,0.0,0.0
WNK1,215.16771,3.080587,0.0,0.0
PCAT1,214.9215,5.2824993,0.0,0.0
FBXL20,214.53375,4.0422053,0.0,0.0
ERC1,214.3046,3.580464,0.0,0.0
PARD3B,214.02951,5.2343326,0.0,0.0
PKHD1,213.98395,9.745594,0.0,0.0
RALGAPA2,213.79364,3.2514293,0.0,0.0
CEP44,213.68785,5.6181984,0.0,0.0
ARFGEF1,213.09407,3.2363064,0.0,0.0
