"dataset","CellType","PropMean.Control","PropMean.Endometriosis","Tstatistic","P.Value","FDR"
"GSE214411","Macrophage",0.105760775603139,0.0544746135392283,2.83660171485672,0.0156446560791898,0.105572754226251
"GSE214411","Mast",0.00807535052655255,0.0310598418449175,-2.6715110017166,0.0211145508452503,0.105572754226251
"GSE214411","Plasma",0.00610175102378558,0.00154609783419823,1.95814306002343,0.0750792927588595,0.250264309196198
"GSE214411","NK",0.399652054673136,0.514625593840835,-1.66091103183348,0.125551310057614,0.313878275144034
"GSE214411","CD8T",0.282396869638444,0.198788417716855,1.40919372135861,0.187011436595655,0.32692031246544
"GSE214411","CD4T",0.148988312910503,0.123530266347012,1.37282392525637,0.196152187479264,0.32692031246544
"GSE214411","Mono",0.0194335840099489,0.0390577017666958,-1.16523191779649,0.267676521665779,0.335285742711479
"GSE214411","Treg",0.0205855088320085,0.0289473238927748,-1.08314251405523,0.301074539054928,0.335285742711479
"GSE214411","B",0.00653624808686981,0.00344325156426163,1.08153890634982,0.301757168440332,0.335285742711479
"GSE179640","pDC",0.00404359842044341,0.00940864853463939,-1.02763602838341,0.31191617407018,0.880057547267794
"GSE214411","pDC",0.00246954469561323,0.0045268916532219,-0.994697050131474,0.340483761086348,0.340483761086348
"GSE179640","Macrophage",0.241000718148101,0.199305609315406,0.621827384183532,0.538566692754882,0.880057547267794
"GSE179640","Treg",0.0157963043987956,0.0273037972371361,-0.541611784268424,0.591884007040151,0.880057547267794
"GSE179640","CD8T",0.126957876644679,0.166754520686229,-0.508263511213074,0.61483853696841,0.880057547267794
"GSE179640","Mast",0.00796258245318653,0.0117351496696387,-0.398489321212083,0.69294693178114,0.880057547267794
"GSE179640","CD4T",0.110130503571356,0.13164380614714,-0.382857986901324,0.704397864387394,0.880057547267794
"GSE179640","NK",0.279076413542538,0.252119516928364,0.373782006722482,0.711090976590817,0.880057547267794
"GSE179640","B",0.0367876441603852,0.0446196192077978,-0.324259011270424,0.747886520885723,0.880057547267794
"GSE179640","Mono",0.171416967125801,0.14795000203909,0.265834362179748,0.792113100247095,0.880057547267794
"GSE179640","Plasma",0.00682739153471388,0.00915933023455866,-0.152121223099859,0.880057547267794,0.880057547267794
