dataset,Cell Type,Final Parameter,Inclusion probability,log2-fold change
GSE179640,B,0.0,0.4706666666666667,0.0
GSE179640,CD4T,0.0,0.4573333333333333,0.0
GSE179640,CD8T,0.0,0.49383333333333335,0.0
GSE179640,Macrophage,0.0,0.5516666666666666,0.0
GSE179640,Mast,0.0,0.508,0.0
GSE179640,Mono,0.0,0.558,0.0
GSE179640,NK,0.0,0.4558333333333333,0.0
GSE179640,Plasma,0.0,0.0,0.0
GSE179640,Treg,0.0,0.478,0.0
GSE179640,pDC,0.0,0.4275,0.0
GSE214411,B,0.0,0.45216666666666666,0.0
GSE214411,CD4T,0.0,0.0,0.0
GSE214411,CD8T,0.0,0.39966666666666667,0.0
GSE214411,Macrophage,0.0,0.5861666666666666,0.0
GSE214411,Mast,0.0,0.745,0.0
GSE214411,Mono,0.0,0.5501666666666667,0.0
GSE214411,NK,0.0,0.9248333333333333,0.0
GSE214411,Plasma,0.0,0.4781666666666667,0.0
GSE214411,Treg,0.0,0.5485,0.0
GSE214411,pDC,0.0,0.49733333333333335,0.0
