gsm,cond,n_immune,Treg_pct,dataset,lt
GSM6102532,Control,442,2.262443438914027,GSE179640,0.8596964388987539
GSM6102533,Control,1235,0.97165991902834,GSE179640,0.06920877260507832
GSM6102534,Control,1462,1.5047879616963065,GSE179640,0.4729916367618962
GSM6102537,Endometriosis,1495,1.8729096989966556,GSE179640,0.6795094576183432
GSM6102540,Endometriosis,718,2.0891364902506964,GSE179640,0.7835071693838505
GSM6102543,Endometriosis,965,1.5544041450777202,GSE179640,0.5034409108158509
GSM6102546,Endometriosis,2166,1.8928901200369344,GSE179640,0.6895859067639342
GSM6102549,Endometriosis,1258,5.961844197138315,GSE179640,1.8020140767445014
GSM6102550,Endometriosis,1002,1.3972055888223551,GSE179640,0.40360042989072575
GSM6102551,Endometriosis,320,1.5625,GSE179640,0.5083224935478722
GSM6102552,Endometriosis,686,0.4373177842565597,GSE179640,-0.6211655824901624
GSM6102553,Endometriosis,813,2.5830258302583027,GSE179640,0.9869451987763103
GSM6102554,Endometriosis,421,3.32541567695962,GSE179640,1.2312228298856434
GSM6102555,Endometriosis,1205,4.315352697095436,GSE179640,1.485087716957031
GSM6102556,Endometriosis,2154,2.042711234911792,GSE179640,0.762071959354145
GSM6102560,Endometriosis,506,2.1739130434782608,GSE179640,0.8215021551417275
GSM6102562,Endometriosis,1175,0.0,GSE179640,-2.3025850929940455
GSM6595248,Endometriosis,2303,1.0421189752496742,GSE179640,0.13288528728687973
GSM6595249,Endometriosis,2063,1.0664081434803685,GSE179640,0.1539290639697369
GSM6595250,Endometriosis,1654,1.5114873035066507,GSE179640,0.47715754356199014
GSM6595251,Endometriosis,575,1.7391304347826086,GSE179640,0.6092928701230826
GSM6595252,Endometriosis,2442,2.907452907452908,GSE179640,1.1010935103743305
GSM6595253,Endometriosis,486,1.02880658436214,GSE179640,0.12116095460300916
GSM6595254,Endometriosis,923,1.8418201516793065,GSE179640,0.6636257557346994
GSM6595255,Endometriosis,305,0.0,GSE179640,-2.3025850929940455
GSM6595256,Endometriosis,1318,9.787556904400606,GSE179640,2.2912770882631133
GSM6595257,Endometriosis,1594,12.421580928481808,GSE179640,2.5274536299432397
GSM6595258,Endometriosis,970,4.948453608247423,GSE179640,1.6190819802048888
GSM6595259,Endometriosis,185,2.702702702702702,GSE179640,1.030584202591257
GSM6595260,Endometriosis,306,0.9803921568627452,GSE179640,0.07732408343454318
GSM6595261,Endometriosis,337,3.2640949554896146,GSE179640,1.2131589686711914
GSM6605431,Endometriosis,2560,2.0703125,GSE214411,0.7748711664006263
GSM6605432,Endometriosis,1917,4.590505998956703,GSE214411,1.5455404655419471
GSM6605433,Endometriosis,3028,4.359313077939234,GSE214411,1.4949947357706461
