bin,n,cnv_mean,frac_tumor,SD,PCC,CI
0,2883,0.009387683408284723,0.8380159556018036,0.35263526,0.04349704654917597,0.015338592510342822
1,2882,0.011392606884256841,0.9941013185287995,0.28755048,0.033902600530770835,0.009748709027856343
2,2882,0.01211755195953917,0.9972241498959056,0.2814746,0.036525726246846836,0.010281063830796458
3,2882,0.012640546135482326,0.998265093684941,0.2777891,0.034030479555292786,0.00945329581532656
4,2882,0.013067728756959949,0.998265093684941,0.27687028,0.032838391859576765,0.009091974765468733
5,2882,0.013449527272628704,0.9979181124219292,0.27500132,0.03513981866731951,0.009663496421883506
6,2882,0.01381202528055284,0.9979181124219292,0.27431408,0.03575508349881215,0.009808122681852938
7,2882,0.014152147419341253,0.9993060374739764,0.27038825,0.03358514818196768,0.009081029294553237
8,2882,0.014481622178270363,0.9996530187369882,0.2688973,0.03445597558180781,0.00926511863047108
9,2883,0.014810320280052924,0.9996531390912244,0.2661437,0.03981390036905939,0.010596219130745871
10,2882,0.015145538888459535,0.9996530187369882,0.26719385,0.03437741884329074,0.009185435026330924
11,2882,0.015477755103896202,0.9996530187369882,0.26527515,0.035191582091228156,0.009335452236903016
12,2882,0.015823654846262882,1.0,0.26358542,0.03506542952932776,0.009242735916064043
13,2882,0.016205870813131053,1.0,0.26238108,0.03582238501467091,0.009399115954150062
14,2882,0.01661874713356367,0.9996530187369882,0.26273024,0.03682265387133536,0.00967442471931514
15,2882,0.017083039770628864,1.0,0.261096,0.03615254774906895,0.009439285631363249
16,2882,0.017627702466875016,1.0,0.2608206,0.03569769392873298,0.009310693856658678
17,2882,0.018311654227901,1.0,0.26053172,0.036854366877822446,0.009601731721154527
18,2882,0.01936254819408104,0.9996530187369882,0.25883883,0.03824713620619947,0.009899844077429817
19,2883,0.0235910705684439,0.9996531390912244,0.26055574,0.042527785042369884,0.011080858679665071
