gene,set,up,diff,P
CD163,nine-gene,4/5,0.99,0.0625
MRC1,nine-gene,3/5,0.864,0.2188
MSR1,nine-gene,2/5,0.679,0.4062
IL10,nine-gene,4/5,0.998,0.0625
TGFB1,nine-gene,3/5,0.959,0.1562
C1QA,nine-gene,4/5,0.341,0.1562
C1QB,nine-gene,4/5,0.511,0.1562
MERTK,nine-gene,4/5,0.98,0.2188
STAB1,nine-gene,4/5,0.745,0.0938
CD200R1,disjoint,2/5,-0.126,0.5938
CCL22,disjoint,2/5,-0.009,0.5938
CCL17,disjoint,2/5,-0.096,0.6875
TGM2,disjoint,4/5,0.495,0.0625
LYVE1,disjoint,2/5,0.207,0.4062
FOLR2,disjoint,3/5,0.208,0.4062
SELENOP,disjoint,4/5,0.935,0.1562
F13A1,disjoint,2/5,0.119,0.4062
VEGFA,disjoint,2/5,-0.008,0.5625
